Tumor_type	Cohort	id	Subgroup	Samples	total	n_corrected	id_prev
Breast-DCIS	ICGC	1	ICGC	3	3	0.491361693834273	5
Myeloid-MDS	ICGC	2	ICGC	3	3	0.491361693834273	24
Breast-LobularCA	ICGC	3	ICGC	7	7	0.851258348719075	6
Bone-Epith	ICGC	4	ICGC	10	10	1.00432137378264	3
BBT	ICGC	5	ICGC	16	16	1.20682587603185	1
CNS-Oligo	ICGC	6	ICGC	18	18	1.25767857486918	10
LAML	ICGC	7	ICGC	18	18	1.25767857486918	18
CESC	ICGC	8	ICGC	20	20	1.30319605742049	8
BLCA	ICGC	9	ICGC	23	23	1.36361197989214	2
BTC	ICGC	10	ICGC	34	34	1.5327543789925	7
STS	ICGC	11	ICGC	34	34	1.5327543789925	33
LUAD	ICGC	12	ICGC	38	38	1.58092497567562	20
OGS	ICGC	13	ICGC	38	38	1.58092497567562	26
SKCM	ICGC	14	ICGC	38	38	1.58092497567562	31
GBM	ICGC	15	ICGC	41	41	1.61384182187607	14
KICH	ICGC	16	ICGC	45	45	1.65417654187796	16
THCA	ICGC	17	ICGC	48	48	1.68214507637383	34
LUSC	ICGC	18	ICGC	49	49	1.69108149212297	21
Myeloid-MPN	ICGC	19	ICGC	51	51	1.70842090013471	25
UCEC	ICGC	20	ICGC	51	51	1.70842090013471	35
HNSC	ICGC	21	ICGC	56	56	1.74896286125616	15
COAD	ICGC	22	ICGC	60	60	1.77887447200274	12
STAD	ICGC	23	ICGC	76	76	1.88138465677057	32
Panc-Endocrine	ICGC	24	ICGC	86	86	1.93500315145365	29
CNS-PiloAstro	ICGC	25	ICGC	89	89	1.94987770403687	11
ESCA	ICGC	26	ICGC	99	99	1.99607365448528	13
Lymph-CLL	ICGC	27	ICGC	100	100	2.00043407747932	23
Lymph-BNHL	ICGC	28	ICGC	107	107	2.02978947083186	22
Ovary-AdenoCA	ICGC	29	ICGC	115	115	2.06107532362979	27
CNS-Medullo	ICGC	30	ICGC	157	157	2.19617618503997	9
KIRC	ICGC	31	ICGC	165	165	2.21774707326279	17
Breast-AdenoCA	ICGC	32	ICGC	205	205	2.31196566036837	4
PAAD	ICGC	33	ICGC	246	246	2.3911116137028	28
PRAD	ICGC	34	ICGC	293	293	2.46701581843844	30
LIHC	ICGC	35	ICGC	336	336	2.52646851246948	19
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
NA	ICGC	36	NA	NA	NA	NA	36
DLBCL	TCGA	37	TCGA	48	48	1.68214507637383	42
UCS	TCGA	38	TCGA	57	57	1.75663610824585	60
KICH	TCGA	39	TCGA	66	66	1.82020145948564	45
ACC	TCGA	40	TCGA	79	79	1.89817648349768	37
GBM	TCGA	41	TCGA	161	161	2.20709554041922	43
READ	TCGA	42	TCGA	165	165	2.21774707326279	55
LAML	TCGA	43	TCGA	178	178	2.25066391946324	48
KIRP	TCGA	44	TCGA	290	290	2.46254772880266	47
CESC	TCGA	45	TCGA	304	304	2.48301642014413	40
LIHC	TCGA	46	TCGA	371	371	2.56949095434878	50
BLCA	TCGA	47	TCGA	408	408	2.61076659477327	38
STAD	TCGA	48	TCGA	420	420	2.62335268153799	57
OV	TCGA	49	TCGA	423	423	2.62644302533129	53
COAD	TCGA	50	TCGA	456	456	2.65906007224094	41
SKCM	TCGA	51	TCGA	469	469	2.67126543294716	56
PRAD	TCGA	52	TCGA	497	497	2.696443763139	54
LUSC	TCGA	53	TCGA	501	501	2.69992440274248	52
HNSC	TCGA	54	TCGA	502	502	2.70079022137435	44
THCA	TCGA	55	TCGA	505	505	2.70337736851235	58
LGG	TCGA	56	TCGA	513	513	2.71020201465538	49
LUAD	TCGA	57	TCGA	516	516	2.71273385906995	51
KIRC	TCGA	58	TCGA	533	533	2.72680868252496	46
UCEC	TCGA	59	TCGA	545	545	2.7364761820277	59
BRCA	TCGA	60	TCGA	1094	1094	3.03905701803344	39
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
NA	TCGA	61	NA	NA	NA	NA	61
Anal Cancer	ICI	62	Miao et al	1	1	0.0413926851582251	64
CESC	ICI	63	Pender et al	1	1	0.0413926851582251	68
GCT	ICI	64	Pender et al	1	1	0.0413926851582251	73
LYMP	ICI	65	Pender et al	1	1	0.0413926851582251	78
NMSC	ICI	66	MSKCC-IMPACT	1	1	0.0413926851582251	79
THYM	ICI	67	Pender et al	1	1	0.0413926851582251	86
ACC	ICI	68	Pender et al	2	2	0.322219294733919	62
AECA	ICI	69	Pender et al	2	2	0.322219294733919	63
OV	ICI	70	Pender et al	2	2	0.322219294733919	81
PAAD	ICI	71	Pender et al	2	2	0.322219294733919	82
STAD	ICI	72	Pender et al	2	2	0.322219294733919	85
CHOL	ICI	73	Pender et al	3	3	0.491361693834273	69
UCEC	ICI	74	Pender et al	3	3	0.491361693834273	87
SARC	ICI	75	Pender et al	5	6	0.654441529175639	83
SARC	ICI	75	Miao et al	1	6	0.130888305835128	83
UVM	ICI	76	Pender et al	9	9	0.959041392321094	88
BRCA	ICI	77	MSKCC-IMPACT	34	47	1.21027044345495	66
BRCA	ICI	77	Pender et al	13	47	0.46275046367395	66
CUP	ICI	78	MSKCC-IMPACT	76	76	1.88138465677057	71
LUSC	ICI	79	Pender et al	26	83	0.601320802631167	77
LUSC	ICI	79	Miao et al	57	83	1.31828022115294	77
Glioma	ICI	80	MSKCC-IMPACT	111	111	2.04571405894087	74
ESCA	ICI	81	MSKCC-IMPACT	111	112	2.03130556248252	72
ESCA	ICI	81	Pender et al	1	112	0.0183000501124551	72
KIRC	ICI	82	MSKCC-IMPACT	110	112	2.01300551237006	76
KIRC	ICI	82	Pender et al	2	112	0.0366001002249102	76
COAD	ICI	83	MSKCC-IMPACT	108	114	1.94900745260673	70
COAD	ICI	83	Pender et al	6	114	0.108278191811485	70
HNSC	ICI	84	MSKCC-IMPACT	123	140	1.88579921885822	75
HNSC	ICI	84	Pender et al	5	140	0.0766585048316348	75
HNSC	ICI	84	Miao et al	12	140	0.183980411595924	75
BLCA	ICI	85	MSKCC-IMPACT	207	234	2.09600894288548	65
BLCA	ICI	85	Miao et al	27	234	0.273392470811149	65
ccRCC	ICI	86	Braun et al	261	261	2.41680687182294	67
NSCLC	ICI	87	MSKCC-IMPACT	304	304	2.48301642014413	80
SKCM	ICI	88	MSKCC-IMPACT	287	630	1.27528654071356	84
SKCM	ICI	88	Pender et al	11	630	0.0488785782155022	84
SKCM	ICI	88	Miao et al	151	630	0.67096957368553	84
SKCM	ICI	88	Liu et al	144	630	0.639865023912029	84
SKCM	ICI	88	Hugo et al	37	630	0.164409763088507	84
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NA	ICI	89	NA	NA	NA	NA	89
NIV3-NAIVE	Riaz et al	90	Riaz et al	33	33	1.51982799377572	90
NIV3-PROG	Riaz et al	91	Riaz et al	35	35	1.54530711646582	91
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
NA	Riaz et al	92	NA	NA	NA	NA	92
Other Leukemias	Hematological	93	Hematological	127	127	2.10414555055401	96
Myelodysplastic Syndromes	Hematological	94	Hematological	685	685	2.83575396751938	95
DLBCL	Hematological	95	Hematological	944	944	2.97501799763288	93
LAML	Hematological	96	Hematological	2103	2103	3.32285992338326	94
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
NA	Hematological	97	NA	NA	NA	NA	97
T-ALL	Pediatric	98	Pediatric	1	1	0.0413926851582251	116
ACC	Pediatric	99	Pediatric	8	8	0.90848501887865	98
HB	Pediatric	100	Pediatric	9	9	0.959041392321094	107
RMS	Pediatric	101	Pediatric	9	9	0.959041392321094	115
Embryonal Tumor	Pediatric	102	Pediatric	10	10	1.00432137378264	103
NHL	Pediatric	103	Pediatric	15	15	1.17897694729317	111
ATRT	Pediatric	104	Pediatric	17	17	1.23299611039215	100
OSG	Pediatric	105	Pediatric	23	23	1.36361197989214	112
Ewing's sarcoma	Pediatric	106	Pediatric	24	24	1.38201704257487	105
Acute Myeloid Leukemia	Pediatric	107	Pediatric	25	25	1.39967372148104	99
RB	Pediatric	108	Pediatric	27	27	1.43296929087441	114
Other	Pediatric	109	Pediatric	38	38	1.58092497567562	113
B-ALL	Pediatric	110	Pediatric	40	40	1.60314437262018	101
Ependymoma	Pediatric	111	Pediatric	60	60	1.77887447200274	104
CNS-PiloAstro	Pediatric	112	Pediatric	67	67	1.82672252016899	102
Wilms Tumor	Pediatric	113	Pediatric	93	93	1.96894968098134	117
GBM	Pediatric	114	Pediatric	116	116	2.06483221973857	106
LAML	Pediatric	115	Pediatric	131	131	2.11760269169008	108
NB	Pediatric	116	Pediatric	148	148	2.17055505852121	110
MB	Pediatric	117	Pediatric	190	190	2.27898211686544	109
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
NA	Pediatric	118	NA	NA	NA	NA	118
Sellar	Composite	119	Composite	24	24	1.38201704257487	152
THYM	Composite	120	Composite	40	40	1.60314437262018	157
RB	Composite	121	Composite	41	41	1.61384182187607	148
Breast-AdenoCA	Composite	122	Composite	48	48	1.68214507637383	125
SCSTs	Composite	123	Composite	52	52	1.71683772329952	151
AVC	Composite	124	Composite	55	55	1.74115159885178	122
ACC	Composite	125	Composite	56	56	1.74896286125616	119
Nerve Sheath Tumor	Composite	126	Composite	58	58	1.76417613239033	139
Anal Cancer	Composite	127	Composite	75	75	1.87563993700417	120
CNS	Composite	128	Composite	101	101	2.004751155591	127
GEP-NET	Composite	129	Composite	109	109	2.03782475058834	132
SBA	Composite	130	Composite	114	114	2.05728564441821	149
PCS	Composite	131	Composite	159	159	2.20167017964658	146
Appendiceal Cancer	Composite	132	Composite	185	185	2.2674064187529	121
UCS	Composite	133	Composite	194	194	2.28802553538836	159
CESC	Composite	134	Composite	197	197	2.29468662427944	126
SGC	Composite	135	Composite	239	239	2.37857957611577	153
Mesothelioma	Composite	136	Composite	245	245	2.38934331125208	138
NMSC	Composite	137	Composite	247	247	2.39287274540208	140
OGS	Composite	138	Composite	252	252	2.40157284567645	142
Other	Composite	139	Composite	259	259	2.41346741298582	143
SCLC	Composite	140	Composite	273	273	2.43632170013973	150
GCT	Composite	141	Composite	383	383	2.58331215198308	131
GIST	Composite	142	Composite	408	408	2.61076659477327	133
HNSC	Composite	143	Composite	446	446	2.64943222324162	136
THCA	Composite	144	Composite	547	547	2.73806671477747	156
KIRC	Composite	145	Composite	658	658	2.8182918908	137
HCC	Composite	146	Composite	873	873	2.9410639882199	135
ESCA	Composite	147	Composite	900	900	2.95429076170113	130
STS	Composite	148	Composite	910	910	2.95908911436739	155
BLCA	Composite	149	Composite	949	949	2.97731197339693	123
CUP	Composite	150	Composite	950	950	2.97776931809157	129
OV	Composite	151	Composite	1036	1036	3.01540167370295	144
SKCM	Composite	152	Composite	1126	1126	3.05157695847254	154
UCEC	Composite	153	Composite	1261	1261	3.10074952568986	158
Glioma	Composite	154	Composite	1476	1476	3.16911578023571	134
PAAD	Composite	155	Composite	1782	1782	3.25093207020011	145
PRAD	Composite	156	Composite	1906	1906	3.28014568135422	147
COAD	Composite	157	Composite	3012	3012	3.47886938609681	128
BRCA	Composite	158	Composite	4822	4822	3.68323621246986	124
NSCLC	Composite	159	Composite	4885	4885	3.6888734583319	141
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
NA	Composite	160	NA	NA	NA	NA	160
