SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	AICDA_canonical	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS40	SBS41	SBS42	SBS44
Breast-DCIS (n = 3 )	0.132003325020781	0	0	0	0.237738985868662	0	0	0.0257689110556941	0	0	0.11072319201995	0.0515378221113882	0	0	0	0	0.0219451371571072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420282626766417	0	0	0
Breast-AdenoCA (n = 261 )	0.0544868293109288	0.150093139879164	0.152518600662085	0.000656895628707841	0.0774918331894809	0.00177129652896896	0.000684209376263261	0.0116179025226977	0	0	0.0937407816102001	0.07923854734565	0	0	0.000667821127730009	0	0.00451086540877755	0.159124430508363	0	0.0012564323875493	0.000442482710397797	0	0	0.0129439849665133	0	0	0	0	0	0.000374198341509248	0	0	0	0.000527155327819598	0.000708791749063138	0	0	0	0	0	0.00834025281604737	0.00984797168110653	0	0.164434223033137	0.0145213538878388	0	0
Breast-LobularCA (n = 7 )	0.0802442023893183	0.0280657062543921	0.192155657062544	0	0.0980323260716796	0	0	0.0615776528460998	0	0	0.158511946591708	0.0526616303583977	0	0	0	0	0.0202037947997189	0.00755446240337316	0	0.00992621222768798	0.0124736472241743	0	0	0.0197645818692902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501141953619115	0	0.208713984539705	0	0	0
Prost-AdenoCA (n = 297 )	0.175817702017071	0	0.0293849792084773	0.00070097399964392	0.0513659205457157	0.00804162592410651	0	0.00107290036381669	0	0	0.0489758974937383	0.0490812300229401	0.00109993260582424	0	0	0	0.00210292199893176	0	0	0.00641503067227322	0.00123416166958584	0	0	0.00943798104573762	0.000263797396142592	0	0.00283186038685935	0.00160795232631085	0	0	0.0211979384652957	0	0	0.000714956193785754	0.000994600076622424	0	0.00758673854135886	0.00198547156814036	0.000639452345419853	0.00617174049420531	0.00350207355939123	0.0412530655960656	0	0.525087318802416	0	0	0.00143177668012375
Eso-AdenoCA (n = 100 )	0.0272481540521228	0.0105663580467565	0.0117635694126271	0	0.11487370344241	0.00123975718196043	0	0	0	0	0.0577862853910571	0.0287445810754118	0.00485440786860457	0	0	0	0	0.00569137474250191	0	0.000394769375521579	0	0.158808884542861	0.360326444979716	0.0488091181961132	0	0	0	0	0	0	0	0	0.0100296530388698	0	0	0	0	0	0	0	0.00794455931427304	0.0149517157297811	0	0.0842944212321757	0.051672242377237	0	0
Stomach-AdenoCA (n = 81 )	0.0895770981403712	0	0.00128577673772726	0.000259133465603494	0.0249579155383152	0.0048721047769573	0.00413031050519157	0.0001839649793979	0	0	0.0948764764178656	0.0374556654290241	0.000741794271765727	0	0	0	0	0.00103455574435593	0	0.0566216512933925	0.000170118152991607	0.113280886829888	0.172962686759071	0.0404742735855961	0	0.00357643744893983	0.00316301077480906	0.00108598681386503	0	0	0	0.0447470085909667	0.0245306420377781	0.000569698000716079	0.00065277895915384	0.000290783354532165	0	0	0	0	0.0351808296622759	0.0317329698871088	0	0.109777639749096	0.0752931076432504	0	0.0265146944499942
Head-SCC (n = 99 )	0.0739781736210008	0.163560761257797	0.0638570090397459	0.0129160986680273	0.0281549627215195	0.00309955905535797	0.00499584948480302	0.0353288807317092	0	0	0.00146981547342528	0.0810454728921856	0	0	0.00395250896739751	0	0	0.207784691072204	0	0.00428759643284162	0.00872750534997601	0	0	0.097586608686381	0.00079202491832243	0	0	0	0	0.00345749339344599	0.0115909800546802	0	0	0.00190390605365969	0	0.00214760602852813	0	0	0	0	0	0.0250249411693029	0.00085294991203954	0.138886138802367	0.0179347950254743	0	0.00666367118780891
Biliary-AdenoCA (n = 34 )	0.114597395665373	0.0304958466311564	0.00923638061983609	0.00247089305770236	0.0131528906779944	0	0	0.0169648715068889	0	0	0.0759060126547088	0.0508412378929576	0.00370745159963081	0	0	0	0.104613742257609	0.0204321282818286	0	0.00591368554494201	0.0207746283096289	0	0.00182370144672901	0.0284252782812726	0	0	0.111058970053488	0.00156571441280149	0	0.00670988690827004	0.00503964326620481	0.0582005404383556	0	0	0.0022529384945567	0	0.00342055222569417	0	0	0	0	0.00510636405084124	0	0.119294538903778	0.0172317546454346	0	0.170762952172318
Lymph-BNHL (n = 107 )	0.0282225735723585	0.0169357043097812	0.0394338370121243	0	0.0888625976332885	0.00710362401141233	0	0.00595707417097384	0	0	0.150469711559632	0.0428668398676981	0.347137073356757	0	0	0	0.00709614651245294	0.00129277648675527	0	0.000140410813792828	0	0.00998744611008042	0.0650434401147879	0.0150804537346369	0.000316547455947146	0	0	0	0	0	0	0	0.00656524408633686	0	0.000697899902875597	0	0.00479473849939889	0	0	0	0.0356385908736294	0.0749743895660641	0	0.0128372040468224	0	0	0.0385456763023934
Panc-AdenoCA (n = 253 )	0.212740254686183	0.022210991719456	0.0667751280997989	0.00464996865068212	0.168555012647828	0.0246962359198322	0	0.00470780273711975	0	0	0.169573324973515	0.0509437225693469	0.000829135407433031	0	0	0	0.000502129591594059	0.0148060666335157	0.00349923248221737	0.00760761464121246	0	0.00434782608695652	0.0152757658962662	0.0114597972023436	0.000207554104598621	0.0118576092361577	0	0.00040916264890926	0	0.00142801548007697	0	0.0494594945192744	0.00303926231811991	0	0.00206148790348734	0.000524830821784533	0.00149990270901347	0	0	0	0.0248075800488617	0.00808758350809677	0.00333221628867317	0.0500789138001859	0.0584275614554732	0	0.00159881521198625
