SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	AICDA_canonical	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS40	SBS41	SBS42	SBS44
Breast-DCIS	0.255	0	0	0	0.481	0	0	0.155	0	0	0.333	0.103	0	0	0	0	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909	0	0	0
Breast-AdenoCA	0.024	0.037	0.073	0.009	0.492	0.009	0.011	0.017	0	0	0.297	0.017	0	0	0.01	0	0.009	0.0425	0	0.0085	0.006	0	0	0.307	0	0	0	0	0	0.009	0	0	0	0.009	0.007	0	0	0	0	0	0.012	0.086	0	0.754	0.357	0	0
Breast-LobularCA	0.2925	0.137	2.1875	0	0.499	0	0	0.266	0	0	0.239	0.113	0	0	0	0	0.23	0.172	0	0.226	0.142	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217	0	0.428	0	0	0
Prost-AdenoCA	0.637	0	0.515	0.069	0.456	0.275	0	0.0065	0	0	0.3085	0.157	0.094	0	0	0	0.108	0	0	0.289	0.0835	0	0	0.2895	0.008	0	0.225	0.0385	0	0	0.3385	0	0	0.0055	0.07	0	0.121	1.065	0.004	0.008	0.4375	0.3145	0	1.649	0	0	0.058
Eso-AdenoCA	1.628	1.5745	2.101	0	3.862	1.1015	0	0	0	0	1.996	0.7485	6.96	0	0	0	0	1.5805	0	1.132	0	5.419	7.38	2.678	0	0	0	0	0	0	0	0	5.2635	0	0	0	0	0	0	0	1.294	3.36	0	3.54	2.262	0	0
Stomach-AdenoCA	0.065	0	0.041	0.015	0.3785	0.048	0.012	0.012	0	0	1.04	0.018	0.1875	0	0	0	0	0.011	0	0.042	0.0095	1.58	1.091	0.5575	0	0.139	0.133	0.006	0	0	0	0.198	1.794	0.0155	0.011	0.019	0	0	0	0	1.045	0.583	0	1.501	1.253	0	3.092
Head-SCC	0.02	0.0355	0.0385	0.119	0.019	0.0155	0.015	0.015	0	0	0.016	0.012	0	0	0.015	0	0	0.034	0	0.019	0.0225	0	0	0.016	0.009	0	0	0	0	0.014	0.02	0	0	0.0125	0	0.0135	0	0	0	0	0	0.165	0.016	1.082	0.2115	0	0.013
Biliary-AdenoCA	1.1255	1.376	2.0765	1.111	0.655	0	0	0.5805	0	0	0.935	0.315	1.667	0	0	0	0.665	1.459	0	2.659	0.47	0	0.82	0.679	0	0	24.968	0.704	0	3.017	0.876	1.168	0	0	1.013	0	1.538	0	0	0	0	0.586	0	1.426	1.14	0	0.715
Lymph-BNHL	0.441	9.123	1.0265	0	0.955	0.485	0	0.4135	0	0	1.562	0.281	2.464	0	0	0	0.464	1.556	0	0.036	0	1.3445	2.3895	0.506	0.0265	0	0	0	0	0	0	0	7.902	0	0.42	0	0.8805	0	0	0	1.795	0.911	0	1.397	0	0	1.16
Panc-AdenoCA	1.456	0.7	3.171	4.3015	1.273	0.551	0	0.4255	0	0	1.0705	0.29	0.767	0	0	0	0.4645	0.967	6.474	0.429	0	3.449	1.3365	0.627	0.384	7.491	0	0.3785	0	1.321	0	2.015	1.411	0	0.718	0.971	0.383	0	0	0	0.567	0.544	6.165	0.85	0.605	0	0.8415
Myeloid-AML	0.343	0	0.086	0	0.5435	0	0	0	0	0	0.124	0.087	0.244	0	0	0	0.1345	0	0	0	0.106	0	0	0.3235	0.139	0	0	0	0	0.078	0.287	0	0	0.116	0.0605	0.122	0.143	0	0	0.511	0	0.589	0	0.233	0	0	0
Liver-HCC	0.015	0	0.0545	0.5985	1.165	0.012	0	0	0	0	1.291	0.356	0	0	0	0	3.654	0	0	0.0115	1.348	0	0.027	0.014	0.108	0	1.997	1.251	0	0.0235	0.655	0.0245	0	0.011	0.218	0.027	0	0	0	1.318	0.022	0.575	0	4.194	0	0	2.928
CNS-Medullo	0.208	0	0.164	0	0.172	0.0755	0	0	0	0	0.2005	0.066	0	0	0	0	0.097	0	0	0.096	0.013	0	0	0.117	0.0225	0.199	0	0	0	0	0	0.0815	0	0.012	0.134	0.029	0.0965	0	0	0.1555	0.101	0.122	0	0.2965	0	0.146	0.057
CNS-PiloAstro	0.051	0	0.0285	0.016	0.034	0.009	0	0	0	0	0.037	0.009	0	0	0	0	0.032	0	0	0.016	0.017	0	0	0.014	0.0455	0	0.011	0	0.0945	0	0.021	0.027	0	0.012	0.014	0	0.016	0	0	0	0	0.021	0	0.045	0	0.028	0.0115
Ovary-AdenoCA	0.02	0.2185	1.297	0.013	1.16	0.0105	0	0.009	0	0	1.323	0.301	0	0	0	0	0	0.011	0	0.01	0.004	0	0	0.007	0	0	0	0	0	0.01	0	0.023	0	0.01	0	0.332	0	0	1.643	1.159	0.011	0.758	0	1.7375	0	0	0
Panc-Endocrine	0.183	0.93	0.32	0	0.58	0.344	0	0	0	0.2525	0.4685	0.1095	0	0	0	0	0.219	1.02	0	0.102	0.2155	0	0	0.312	0.098	0	0	0	0	0	0.191	0.136	0	0.157	0.208	0.4025	0.321	0.18	0	0	7.544	0.096	0	0.492	0	0	0.2835
Kidney-RCC	0.009	0	0.02	0.0125	0.1775	0.01	0	0	0.007	0	0.022	0.008	0	0	0	0	0.011	0	0	0	0.0045	0	0	0.01	0.008	0	0.006	0.0085	0	0.009	0	0.008	0.004	0.007	0	0.0105	0	0	0.004	0	0	0.0995	0	1.3775	0.276	0	0.007
Lymph-CLL	0.265	0	0.211	0	0.497	0.161	0	0	0	0	0.5155	0.1025	0.944	0	0	0	0.232	0	0	0.238	0.117	0	0.375	0.219	0.184	0	0	0	0.177	0	0.2285	0.249	0	0	0.2155	0	0.194	0	0	0	0	0.237	0	0.373	0	0	0.134
Bone-Epith	0.2235	0.5485	0.344	0	0.561	0	0	0	0	0	0.289	0.094	0	0	0	0	0.228	0.422	0	0	0	0	0.194	0.1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1345	0	0.448	0	0	0
Bone-Benign	0.088	0	0.032	0	0.12	0	0	0	0	0	0.23	0.0315	0	0	0	0	0.0865	0	0	0	0.033	0	0	0.026	0	0	0	0	0	0.016	0	0	0	0	0.0345	0.046	0.0505	0	0	0	0	0.062	0	0.145	0	0	0.054
Bone-Osteosarc	0.2295	0.474	1.035	0	0.43	0	0	0.4735	0	0	0.759	0.168	0	0	0	0	0.4765	0.478	0	0	0	0	1.248	0.476	0	0	0	0	0	0	0.3395	0	0	0.408	0.228	0.5125	0	0	0	0	0	0.452	0	0.624	0.3885	0	0.237
Myeloid-MPN	0.211	0	0.149	0.0235	0.21	0	0	0.0565	0	0	0.15	0.063	0.49	0	0	0.091	0.094	0	0	0.029	0.0525	0	0	0	0.134	0	0	0	0	0	0.0535	0	0	0.041	0.076	0.126	0.127	0	0	0	0	0.093	0.026	0.1375	0	0	0.129
Myeloid-MDS	0.083	0	0.084	0	0.287	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0.069	0	0	0	0	0	0	0.093	0	0	0.065
