AICDA_exp	APOBEC3A_exp	APOBEC3B_exp	UNG_exp	SMUG1_exp	Intratumor.Heterogeneity	Proliferation	Aneuploidy.Score	Homologous.Recombination.Defects	B.Cells.Memory	B.Cells.Naive	Dendritic.Cells.Activated	Dendritic.Cells.Resting	Eosinophils	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.Cells.Activated	Mast.Cells.Resting	Monocytes	Neutrophils	NK.Cells.Activated	NK.Cells.Resting	Plasma.Cells	T.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Resting	T.Cells.CD4.Naive	T.Cells.CD8	T.Cells.Follicular.Helper	T.Cells.gamma.delta	T.Cells.Regulatory.Tregs	Lymphocytes	AICDA_signature_weight	AICDA_mutations_log.x	Lymphocyte.Infiltration.Signature.Score	EBV	HBV	HCV	HPV	AICDA_mutations	polyoma_BK_virus	polyoma_JC_virus	polyoma_KI_virus	polyoma_Merkel_cell	polyoma_WU_virus	AICDA_exp_log	AICDA_mutations_log.y	BCR.Evenness	BCR.Shannon	BCR.Richness	TCR.Shannon
ACC	-0.264182653747623	0.333227633142264	0.357933802154316	0.0482129434040371	-0.0893295319734351	-0.174772665047836	0.281669274941412	0.0508187111908179	0.168751420099662	-0.0740330813542179	0.136306605276812	0.163082277805261	0.0977042478040401	0.102694573599235	-0.00155992629834858	0.12620898830311	-0.164535530052929	-0.0760173041028005	0.0457127688891291	-0.075481841931794	0.0141738668030232	-0.129640946321606	0.108773126462276	-0.138077843791438	0.243187821671517	0.00581141018516242	-0.0395247047653299	0.103957944653121	0.272776010789125	NA	0.074499327403199	0.1065345006409	0.0100821354939285	1	-0.113415386388427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLCA	-0.0925433207119831	0.165943164528356	0.290620739674083	0.0640189045946949	-0.0603839969660982	0.137032264897839	0.257917328752429	0.181876927424432	0.283106140850194	-0.14871072118918	-0.0062718004786144	-0.0844065275767115	-0.121797827557433	-0.0342256779240792	-0.0578702523363391	0.114731006992067	0.0534992726632449	0.0970394442841024	-0.169189442644137	-0.0801123972679705	-0.00407991583445344	0.0627120328050008	0.0680648036108485	0.1027705904089	0.131888049892205	0.00995030189251033	-0.13411167726125	0.202512241846273	0.00108353022067251	-0.0442076455941859	-0.00861384276701783	0.0681508339653816	-0.0217577712286357	1	0.0935889317236435	0.010323050927298	-0.0225786080610335	NA	-0.0344681104915824	1	0.0372068269247849	NA	NA	NA	NA	-0.0313500311732977	0.776816189385266	-0.0343836590956808	-0.104102891864495	-0.126035245370603	0.0170272194219223
BRCA	0.141324856736047	0.248096132243254	0.158759270359448	0.052399351361277	-0.0298195720975042	0.0901441208527688	0.236093947721718	0.0637992897532613	0.248749714287641	-0.0480882829116966	0.00444945849379381	0.0507289043012404	-0.067499878004636	-0.0343969097134361	0.0286807916466353	0.231840644601695	-0.113956397326042	0.00253290118784782	-0.23420046127314	-0.0726525202328154	-0.00445195350400742	0.0487519104372435	0.0341866360573579	-0.0444971439317592	0.134173346074029	0.040557956014601	-0.0242813429092356	0.106043384810091	0.132938766700762	0.0541769889758022	0.120569219152056	0.118116672231995	0.0487925353509702	1	0.196025993184573	-0.00124839252553696	NA	NA	-0.00875247105440547	1	NA	NA	NA	NA	NA	0.0170862595331351	0.551031986196306	0.016907332929312	0.0147636992024631	0.00090351733630222	0.0541418257280472
CESC	0.00517404086946927	0.227578806611511	0.0625246501862627	-0.0879178089173595	-0.00375243548660072	0.0566799332531355	0.0682137707360382	0.0080233152748933	-0.0160794452567079	-0.00939662318464075	-0.0826263301891544	-0.0721242700252536	-0.134950401772258	-0.0685326377727131	-0.00131807467533003	0.223022928105125	0.0307408319385766	-0.0200827294934462	-0.140778513014707	-0.0648446648171252	-0.0661083465085795	-0.0356535997680772	-0.0211818663739483	-0.0912339373508587	0.170003230007393	-0.123986710226517	-0.0266492170003905	0.128000482403378	0.143349949145404	0.0418971875722335	-0.0384836490833795	0.0149655719324863	0.0509117359470599	1	0.0799393100130246	-0.0312884085864766	-0.00616552020682792	NA	0.147026542432782	1	NA	NA	NA	NA	NA	-0.122380759198066	0.813253418318403	-0.03021851794674	0.0212335093772347	0.00813249224091996	0.0873558301939416
COAD	0.0982814404584803	0.187760152395686	-0.0211629658546651	0.106537527406545	-0.127005165492974	-0.236509584897022	0.248639084157276	-0.45038097658404	-0.333561166963503	-0.151200020088586	0.005083040601721	-0.100870549012997	-0.0893869645589071	-0.0910774277776941	-0.129956836057259	0.259873349507115	0.0422613619296468	0.0450432629454297	-0.00653749329142143	-0.101383965396223	0.142342774829233	0.22818350128256	-0.0512172728690448	-0.145953627232108	0.0512101714178984	-0.0991092886249904	-0.000474533989792853	0.147844063813729	0.100236799129116	-0.0115809314967803	-0.0883470159792408	0.0110796292797933	-0.135457067841677	1	0.215911467331864	-0.0219930228087427	-0.0151078339128365	NA	0.0575357362422661	1	NA	NA	NA	NA	NA	0.0614178972352669	0.720222502041828	0.0345116321892312	-0.000602007613796465	0.017140515158972	0.127184185217236
DLBC	0.326746888714102	-0.0178551064852995	-0.0288477933929229	0.132835266401419	0.0943933342317074	0.132067421747169	0.109619025807663	0.26491038516214	0.297799729813631	0.10575681066419	-0.0334507260050786	0.355228111750027	-0.206062944505514	-0.106819419726075	0.21510840174272	0.0700565195738369	-0.124496717704601	-0.106145954400646	0.3324439460369	-0.217907298896285	-0.0149024159473655	0.000368042437629898	0.110285545126711	-0.160311128155012	0.0573761276691527	-0.278154305376857	NA	-0.235069842105936	-0.359445465209717	-0.14240464707399	-0.0720052956914519	-0.233931171334481	0.371117882828656	1	-0.351403459536756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBM	-0.155392409795752	-0.0908701077630988	0.0943302217813926	0.0610146244370673	-0.117598011737005	0.0408842350479482	0.153463323253384	-0.0508895483770271	-0.0247991865943845	0.0390042607760668	-0.127853809695274	-0.0723182152524705	-0.02145058952756	-0.0842962004396758	0.170566795219244	-0.0498247047443814	-0.0404639972463165	-0.0170508093322176	0.0312612435811777	-0.104659223960042	0.0291367902224051	-0.0487784788990598	-0.058477001204777	0.393499491079161	0.0136564608158921	-0.172143155760384	0.0790590413689201	0.0644137532680836	0.185783881156218	0.0062463288351772	-0.10766980189826	-0.0407550449585025	0.0498538525502001	1	-0.113592459046756	-0.00990260305737318	NA	NA	-0.0114917084120144	1	NA	NA	NA	NA	NA	-0.0972538891425923	0.675789177869383	-0.539620020292192	-0.195679106941278	-0.236557433667054	-0.0555249374685169
HNSC	-0.0558533049381579	0.140171006051731	0.0953620308394285	0.0423549967513223	0.0636547058525171	-0.0653221514073694	0.121526789978959	0.00693222153869496	0.0695302580145186	-0.0597608453629476	-0.0486485330542534	0.0659092768971932	-0.0296444187491422	-0.0329236402522855	-0.0789378190645536	0.0890656709750886	-0.000442002878810273	-0.0712394786268997	-0.0843563463763881	0.0418006824196856	0.0322439797283787	0.0164691263041658	0.0695631020149566	0.0815563132990499	0.136637319025922	-0.0695452937667996	-0.0037878905406019	0.105125736270907	0.0236396899450617	0.0196363747653055	-0.0903909154631821	0.0600830875689603	0.0690267146698747	1	0.000245458444533598	-0.0233827693182159	-0.00490400910497144	-0.0019556687451168	-0.0242955854162935	1	NA	NA	NA	NA	NA	0.021719851965535	0.807996616528344	0.00404687440358928	0.119986256603578	0.123647635145154	0.0876731281502811
KICH	-0.0574938171044933	0.0594047984366572	0.318926884502156	-0.238978724115213	-0.0715627594237418	0.270808701992265	0.26671948443346	0.224030057663043	0.219336155854533	0.0991718994481183	-0.00424759445709968	-0.147618364416407	0.144607030780481	0.0566253045652063	0.160436134420799	0.339178869513777	-0.224250714190751	0.190341193707668	-0.115361205342145	-0.0860576198067531	-0.104309903749203	-0.342521079258745	0.014532179549751	0.395326125415508	-0.0895855113338501	0.0624415804981585	-0.0937107641523285	0.325249127185591	-0.0706344845538188	-0.0883272059132877	0.379681181989475	0.229667775522793	0.110913687375311	1	0.0969416059684526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIRC	0.053929843638046	0.0146126370196498	-0.0270219744492122	0.0186929010416605	0.0584072919188124	-0.019447666214998	0.105207873191916	0.0268900762159748	0.0962705120038031	0.118728626668736	-0.0672473706975932	-0.0929014536755253	-0.0379819548315759	-0.0387555503111924	0.095591200557051	0.0321519018722677	0.0453346557817069	0.0741578507465732	-0.12811230096383	0.0305313531964012	0.0162175178163749	0.0138526271871896	0.0147618991550504	-0.0332017523135634	0.0845301633101363	-0.0472355245857859	-0.068513243150989	-0.0302378658784752	-0.0270155270920456	-0.00363825479749885	0.0206728458756177	-0.0552611610436081	0.245563453497834	1	-0.0723780950195149	NA	-0.0554454333837382	NA	-0.0334580653771045	1	NA	NA	NA	NA	NA	0.0110849726447054	0.929232176092659	-0.0597195851581237	-0.0788503936894961	-0.0644011128323109	-0.0167033486464355
