APOBEC3A_exp	APOBEC3B_exp	UNG_exp	SMUG1_exp	Intratumor.Heterogeneity	Proliferation	Lymphocyte.Infiltration.Signature.Score	Aneuploidy.Score	Homologous.Recombination.Defects	B.Cells.Memory	B.Cells.Naive	Dendritic.Cells.Activated	Dendritic.Cells.Resting	Eosinophils	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.Cells.Activated	Mast.Cells.Resting	Monocytes	Neutrophils	NK.Cells.Activated	NK.Cells.Resting	Plasma.Cells	T.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Resting	T.Cells.CD4.Naive	T.Cells.CD8	T.Cells.Follicular.Helper	T.Cells.gamma.delta	T.Cells.Regulatory.Tregs	Lymphocytes	BCR.Evenness	BCR.Shannon	BCR.Richness	TCR.Shannon	EBV	HBV	HCV	HPV	polyoma_BK_virus	polyoma_JC_virus	polyoma_KI_virus	polyoma_Merkel_cell	polyoma_WU_virus
ACC	-0.284111367688438	-0.195973656833229	-0.192244903751113	0.137249945221011	0.273354161047028	-0.102145833736627	0.353924426869507	-0.0491598255876032	-0.0990073372893836	0.151124051950621	-0.129621947942225	-0.172816590348114	-0.00367615436707752	-0.159236757901419	-0.0377467302754599	0.130304459418819	0.112549733298718	-0.0695436213274107	-0.0384240751770152	-0.166694092031558	0.17308863292491	-0.0554065686396999	-0.158163303954419	0.131452717391227	-0.089292988909702	0.0551981802558617	-0.0468568714740234	0.181119146036684	-0.113506553730626	NA	0.130015717828299	0.125119418318507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLCA	0.181531280299406	0.0968749949469561	-0.151318236014937	-0.149333286986873	0.0856177311501821	-0.0161471638634069	0.513440793498383	0.0119750503221291	0.0344296919429331	0.0417543710378801	0.485354342983478	-0.14368405016044	-0.148434564548044	-0.028571363033105	-0.0582467672824187	0.146646383759237	-0.0802730136127625	-0.132821192594575	-0.0533565330337889	-0.0629564353492867	-0.0247717716453489	-0.0423690004159276	-0.121147110982402	-0.0239964611127558	0.0301817305050345	0.149737646198486	-0.159938138408523	0.0255402233511337	0.023520792101815	-0.0355853650454555	0.124867074451601	0.214823155540262	-0.0526723184641304	0.368424137397035	0.517962205048772	0.471803710391046	-0.00242610629008241	-0.0633180818839496	NA	0.0875814450339398	0.0268735768614269	NA	NA	NA	NA
BRCA	0.310764972508009	0.159080806806753	-0.0864880636693797	-0.165227505877289	0.140704473216075	0.14934781317648	0.504005307583367	-0.0268501724646205	0.068116235655584	0.24088448282118	0.218649614446484	-0.052453976874735	-0.0533700622887877	-0.056167080631565	-0.0314887049222641	0.159178843737223	-0.251422463675611	-0.0450276264613251	-0.220918490704609	-0.0789297101954799	-0.054239297187555	-0.0217770690794028	-0.0376701185827439	0.0276443315555725	0.194691336752385	0.175779440070055	-0.0570705720899322	0.108907813455853	0.104921449073255	0.136504913757456	0.170139028519213	0.309286137466077	0.0268429493341657	0.432660298532201	0.384781536538672	0.453257167998431	0.0572002360792608	NA	NA	-0.0129028054459124	NA	NA	NA	NA	NA
CESC	0.169312424045445	-0.0497237881710935	-0.04839656569504	-0.020190312665029	0.112269588652793	-0.169977481380994	0.445015078873428	0.0664023035746978	0.0231864882636497	-0.105795990818403	0.157273763088175	-0.133016032614061	0.00559391594066745	-0.0163577795798342	-0.0300949710461664	0.137055007729922	-0.029840248019192	-0.0828246097617897	-0.0864113475953358	-0.10181396334301	0.0167667522066554	-0.206971615062309	0.0595318257647711	0.0939089352274974	0.178976617349466	0.0725426015758908	-0.0993189392770095	0.0417370643377565	0.00185760441528857	0.0131037670620043	0.0577571201371013	0.099217481793874	0.105647268911704	0.391566393609953	0.409106143172084	0.232856322016046	0.106331927580635	0.0604130865933817	NA	0.0252318604985206	NA	NA	NA	NA	NA
COAD	0.102351083387735	-0.10027494018801	-0.153787020629617	-0.126284885302645	0.0290042000450986	-0.0773770634124732	0.487574676529312	-0.0934043340144064	-0.0559506017299402	-0.00159982773383413	0.567439235388548	-0.0465940252689998	-0.0177582983212667	-0.0666546926934483	-0.110558301341643	0.0922527771220059	-0.118345895455065	-0.21704339298931	0.154318717271082	-0.0374760589157231	-0.0953988137181236	-0.0399884169735866	-0.0133236641305647	-0.0971946003225785	-0.114194526763519	0.103883876640924	-0.0671608449609717	0.0494746633761034	0.0638003042854554	-0.0579665688292623	-0.0240129425310093	0.241979966032841	0.074705364245983	0.203153166017712	0.183073320923179	0.355846985503006	0.0243453618819186	-0.0450304702573998	NA	-0.102262249690326	NA	NA	NA	NA	NA
DLBC	-0.0540675522423043	-0.156236372612727	-0.203997087692909	0.0447423978228711	0.232936580465186	0.0769197059756114	-0.0650372373696472	0.00371944180067648	0.146305896935353	0.154369551127818	-0.134554901990564	0.0416110605587199	0.178074623792519	-0.179933365128787	-0.345435335856271	0.0203836512689775	0.0557379963173616	-0.176284883658009	-0.0229254795590671	0.157399574382763	-0.121901269412586	-0.0820542706855064	0.192693694401174	-0.308162518170898	0.285716567353232	-0.140894952461068	NA	0.225030845056792	0.0155484584374684	-0.136532055511767	0.0735301169852588	0.229945294107304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBM	0.049514387768828	-0.157656488911234	-0.195893646676972	0.0665552202142971	-0.0248968022178037	-0.168141240447778	0.0651543910644586	-0.0283922622534341	-0.120260716242803	0.00524744144911019	0.0360217146570599	0.0759115875229928	0.0330547901267255	0.0269336212678647	-0.0178641802421174	-0.0160036902469778	-0.115000485958509	0.025312618433937	-0.0762962851970232	0.173400035432595	0.175493109444008	0.029163828617091	0.0511433112166041	-0.0258682544739386	-0.00771462606128005	0.15745835577781	-0.00226656659686733	-0.117326163909787	-0.128125666432931	0.0769253984711374	-0.0824833509812547	0.0396066469930457	-0.125842237069307	-0.0987359499155804	-0.18626365993088	-0.00658168543473771	-0.0879645179673213	NA	NA	0.116010706276678	NA	NA	NA	NA	NA
HNSC	0.0208271094347274	0.136896805873762	0.122216695993259	-0.0780074553121649	0.0190862308522584	0.12155705057767	0.450031785700165	-0.0644193302793831	-0.0835580471436588	0.349397871312854	0.397174680473004	-0.129362961915884	-0.118754280534116	-0.0316590755422491	-0.115668743901874	-0.0765955984609603	-0.170001398988526	-0.103966283315457	-0.0237153669336249	-0.0225989155568949	-0.0285334595918999	-0.0321420410961871	-0.0689304737238485	0.11367104775717	-0.0520214600070824	0.0725384673152062	0.0253132846781942	0.057712480013382	0.128441519521443	0.013303260205896	0.273974688640155	0.355624162140345	-0.078359008553798	0.261613506245885	0.294887322817665	0.343690442940049	-0.00902057918312953	-0.0317125212859114	0.00637890362193051	0.166920587153226	NA	NA	NA	NA	NA
KICH	0.0786399327012732	-0.392626554689149	0.122929052534556	-0.167849523447102	-0.0470080932881863	-0.103818067976072	0.199607793639254	-0.283537845468684	0.104800125330707	0.00395162636598837	-0.0488784839812266	-0.170176163651882	-0.174375801950125	-0.175513069581323	-0.0040625049360376	0.044162307795759	0.103435198518809	0.191984449500144	0.187343373250147	-0.0101595196565465	-0.176285196216712	-0.047236361451397	-0.240942645097944	0.0561367041305156	-0.142036723928987	-0.0727689118095718	-0.119631512937171	-0.034594357139449	0.0576079648918733	0.0916233205223705	-0.0312079156282485	-0.189885600072623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIRC	-0.027299291229561	0.125170281693682	0.267251747539833	0.154669101002451	0.169228251661721	0.308246276297331	0.0971914146589106	0.118195773461197	0.199186611785744	0.0624164933733568	-0.0379380847676456	0.0102707795855432	0.0699511610109177	-0.0102601253533137	0.0550487195692927	-0.0259002956835954	-0.0354485463707512	0.11838797542124	-0.194447644869504	-0.180476753078969	0.0404926470461646	0.0460963297674434	-0.0293403267899142	0.104487664179893	0.0738200552622071	-0.00632601992196581	-0.0607599115322161	0.0133907543135953	0.0986612061161602	-0.0249161575268598	0.14751094713067	0.0887064640082955	-0.125393274390416	0.127087521558247	0.16185392681609	0.0900358833152065	NA	0.0230773551078664	NA	0.0318619816704649	NA	NA	NA	NA	NA
