Tumor_Sample_Barcode	Tumor_type	SBS.Sig.max	Replication_Zone	Mutations_Mb_decile_zone	Mutations_Mb_decile_zone_histo	MSI
0009b464-b376-4fbc-8a56-da538269a02f	Ovary-AdenoCA	AICDA_canonical	Early	304	304	MSS
0009b464-b376-4fbc-8a56-da538269a02f	Ovary-AdenoCA	AICDA_canonical	Late	535	-535	MSS
003819bc-c415-4e76-887c-931d60ed39e7	CNS-PiloAstro	AICDA_canonical	Early	2	2	MSS
003819bc-c415-4e76-887c-931d60ed39e7	CNS-PiloAstro	AICDA_canonical	Late	2	-2	MSS
0040b1b6-b07a-4b6e-90ef-133523eaf412	Liver-HCC	AICDA_canonical	Early	192	192	MSS
0040b1b6-b07a-4b6e-90ef-133523eaf412	Liver-HCC	AICDA_canonical	Late	256	-256	MSS
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	Panc-Endocrine	AICDA_canonical	Early	55	55	MSS
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	Panc-Endocrine	AICDA_canonical	Late	68	-68	MSS
005794f1-5a87-45b5-9811-83ddf6924568	Kidney-RCC	AICDA_canonical	Early	107	107	MSS
005794f1-5a87-45b5-9811-83ddf6924568	Kidney-RCC	AICDA_canonical	Late	139	-139	MSS
005e85a3-3571-462d-8dc9-2babfc7ace21	Prost-AdenoCA	AICDA_canonical	Early	25	25	MSS
005e85a3-3571-462d-8dc9-2babfc7ace21	Prost-AdenoCA	AICDA_canonical	Late	50	-50	MSS
008aef39-0c97-48ce-9dfd-f12d67116c59	Prost-AdenoCA	AICDA_canonical	Early	59	59	MSS
008aef39-0c97-48ce-9dfd-f12d67116c59	Prost-AdenoCA	AICDA_canonical	Late	101	-101	MSS
008bad10-d41b-4bbb-86fa-9976ecea46b1	Prost-AdenoCA	AICDA_canonical	Early	52	52	MSS
008bad10-d41b-4bbb-86fa-9976ecea46b1	Prost-AdenoCA	AICDA_canonical	Late	90	-90	MSS
00b9d0e6-69dc-4345-bffd-ce32880c8eef	Lymph-BNHL	AICDA_canonical	Early	63	63	MSS
00b9d0e6-69dc-4345-bffd-ce32880c8eef	Lymph-BNHL	AICDA_canonical	Late	119	-119	MSS
00c27940-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	219	219	MSS
00c27940-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	346	-346	MSS
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	Kidney-RCC	AICDA_canonical	Early	224	224	MSS
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	Kidney-RCC	AICDA_canonical	Late	221	-221	MSS
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	Kidney-RCC	AICDA_canonical	Early	158	158	MSS
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	Kidney-RCC	AICDA_canonical	Late	197	-197	MSS
01b0848c-ae36-4ade-a3da-d297b003c99f	Panc-AdenoCA	AICDA_canonical	Early	730	730	MSS
01b0848c-ae36-4ade-a3da-d297b003c99f	Panc-AdenoCA	AICDA_canonical	Late	864	-864	MSS
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	Panc-Endocrine	AICDA_canonical	Early	61	61	MSS
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	Panc-Endocrine	AICDA_canonical	Late	119	-119	MSS
01dc6872-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Early	145	145	MSS
01dc6872-c623-11e3-bf01-24c6515278c0	Liver-HCC	AICDA_canonical	Late	204	-204	MSS
01df36af-3617-40fc-9892-f54ce433cf71	Ovary-AdenoCA	AICDA_canonical	Early	109	109	MSS
01df36af-3617-40fc-9892-f54ce433cf71	Ovary-AdenoCA	AICDA_canonical	Late	224	-224	MSS
02078f77-2b35-4fa3-ab02-2c017181295e	CNS-PiloAstro	AICDA_canonical	Early	4	4	MSS
02078f77-2b35-4fa3-ab02-2c017181295e	CNS-PiloAstro	AICDA_canonical	Late	13	-13	MSS
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	Eso-AdenoCA	AICDA_canonical	Early	489	489	MSS
