Tumor_type	Gene	p_val	Rho	DE	label	ORA
Biliary-AdenoCA	7SK	0.220245253705631	-0.303863305444334	Not associated	7SK-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC002511.2	0.215203342542083	0.307048542438124	Not associated	AC002511.2-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC004053.1	0.621772091189354	-0.124783549621155	Not associated	AC004053.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC007879.2	0.369934108721316	-0.224742629770701	Not associated	AC007879.2-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC008278.2	0.599004402273949	0.132930882979573	Not associated	AC008278.2-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC008834.1	0.45714599319992	-0.187134858465542	Not associated	AC008834.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC009081.1	0.816654203568489	-0.0588235294117647	Not associated	AC009081.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC011524.1	0.816654203568489	-0.0588235294117647	Not associated	AC011524.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC011754.1	0.735573075855076	-0.0856008088363528	Not associated	AC011754.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC012613.2	0.413822769908897	-0.205285727770683	Not associated	AC012613.2-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC019118.2	0.185264928530693	-0.327048565102476	Not associated	AC019118.2-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC068286.1	0.735573075855076	-0.0856008088363528	Not associated	AC068286.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC069277.2	0.669891081077609	-0.107933533408829	Not associated	AC069277.2-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC079776.1	0.459675153482139	-0.186103236171403	Not associated	AC079776.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC090044.1	0.328003446746473	-0.244582375458342	Not associated	AC090044.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC108066.1	0.00407198177703339	0.642006066272646	Associated	AC108066.1-Biliary-AdenoCA	Significant
Biliary-AdenoCA	AC113607.1	0.816654203568489	-0.0588235294117647	Not associated	AC113607.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC114730.2	0.507638760023586	-0.167046619988268	Not associated	AC114730.2-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC131097.3	0.779944646053612	-0.0708573559472593	Not associated	AC131097.3-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC139451.1	0.669891081077609	-0.107933533408829	Not associated	AC139451.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC144521.1	0.507638760023586	-0.167046619988268	Not associated	AC144521.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AC144836.1	0.0334061607129534	0.502884243125067	Associated	AC144836.1-Biliary-AdenoCA	Significant
Biliary-AdenoCA	ADORA2B	0.303018629682722	0.257115104606744	Not associated	ADORA2B-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AL020993.1	0.086141855220293	0.415790038279182	Not associated	AL020993.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AL157931.1	0.611698225711191	-0.128373453830736	Not associated	AL157931.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AL590867.1	0.219877311178469	0.304094145006505	Not associated	AL590867.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AL603766.1	0.926650011234896	-0.0233741004187949	Not associated	AL603766.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AP000431.1	0.816654203568489	-0.0588235294117647	Not associated	AP000431.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AP001471.1	0.215203342542083	-0.307048542438124	Not associated	AP001471.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AP001626.1	0.152820160817741	-0.351337410798737	Not associated	AP001626.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AP001631.1	0.328003446746473	-0.244582375458342	Not associated	AP001631.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	AP004550.1	0.459675153482139	-0.186103236171403	Not associated	AP004550.1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	APOL5	0.767664284002559	0.0749142099235669	Not associated	APOL5-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	B4GALT5	0.926650011234896	0.0233741004187949	Not associated	B4GALT5-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	CCR7	0.788071076351074	0.0681818181818182	Not associated	CCR7-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	CD2AP	0.516510120841883	-0.163618702931564	Not associated	CD2AP-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	CNTN3	0.153728944850024	-0.350611506281923	Not associated	CNTN3-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	CNTNAP5	0.369934108721316	-0.224742629770701	Not associated	CNTNAP5-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	CRNN	1e-08	1	Associated	CRNN-Biliary-AdenoCA	Significant
Biliary-AdenoCA	CTAG2	0.150719207387801	0.353026998034524	Not associated	CTAG2-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	DNM1P47	0.642469146630321	-0.117478257113025	Not associated	DNM1P47-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	EPS15P1	0.735573075855076	-0.0856008088363528	Not associated	EPS15P1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	FAM189A1	0.611348467034341	-0.128498513240647	Not associated	FAM189A1-Biliary-AdenoCA	Not significant
Biliary-AdenoCA	FBXL19-AS1	0.220245253705631	-0.303863305444334	Not associated	FBXL19-AS1-Biliary-AdenoCA	Not significant
