Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00406:IGv	11	17.46031746031746	1.3771964037765858E-12	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGKV4-1, IGHV1-24, IGHV4-39, TRBV5-3, IGHV3-7, IGLV4-60, IGHV1-18	17	275	10057	23.66352941176471	1.239508495842756E-11	1.2394767633989273E-11	1.2394767633989273E-11
GOTERM_BP_DIRECT	GO:0006956~complement activation	8	12.698412698412698	8.590473679318792E-12	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	22	87	16792	70.18599791013584	4.1234216041630134E-10	4.12342736607302E-10	3.3502847349343285E-10
GOTERM_MF_DIRECT	GO:0003823~antigen binding	8	12.698412698412698	1.2146955133457811E-11	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	20	103	16881	65.55728155339807	2.1864510202362908E-10	2.186451924022406E-10	1.9435128213532497E-10
GOTERM_BP_DIRECT	GO:0006958~complement activation, classical pathway	8	12.698412698412698	2.169426344751407E-11	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	22	99	16792	61.67860422405877	1.0413270246090178E-9	5.206623227403376E-10	4.2303813722652436E-10
UP_KEYWORDS	Immunoglobulin V region	7	11.11111111111111	6.623935605088346E-11	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGKV4-1, IGHV4-39, IGHV3-7	31	48	20581	96.81922043010753	3.1132493250041193E-9	3.1132497343915226E-9	3.1132497343915226E-9
GOTERM_BP_DIRECT	GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis	8	12.698412698412698	1.2756896957164053E-10	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	22	127	16792	48.08017179670723	6.123309859162873E-9	2.0411035131462485E-9	1.6583966044313268E-9
INTERPRO	IPR013106:Immunoglobulin V-set	11	17.46031746031746	1.766777827554477E-10	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGKV4-1, IGHV1-24, IGHV4-39, TRBV5-3, IGHV3-7, IGLV4-60, IGHV1-18	28	417	18559	17.48449811579308	6.007044639488868E-9	6.007044613685222E-9	6.007044613685222E-9
GOTERM_BP_DIRECT	GO:0050776~regulation of immune response	8	12.698412698412698	1.370846536449351E-9	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	22	178	16792	34.30439223697651	6.580063216521381E-8	1.316012674991377E-8	1.0692602984304937E-8
GOTERM_BP_DIRECT	GO:0038095~Fc-epsilon receptor signaling pathway	8	12.698412698412698	1.370846536449351E-9	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	22	178	16792	34.30439223697651	6.580063216521381E-8	1.316012674991377E-8	1.0692602984304937E-8
GOTERM_BP_DIRECT	GO:0006898~receptor-mediated endocytosis	8	12.698412698412698	1.8635548134337247E-9	IGLV3-21, IGKV5-2, IGKV1-5, IGHV4-34, IGLC3, IGKV4-1, IGHV4-39, IGHV3-7	22	186	16792	32.82893450635386	8.945062968113149E-8	1.4908438507469798E-8	1.211310628731921E-8
