Hugo_Symbol	metamaintype	n	prop
TP53	Appendiceal Cancer	NA	NA
TP53	Bladder Cancer	2	0.00554016620498615
TP53	Bone Cancer	NA	NA
TP53	Breast Cancer	6	0.00350058343057176
TP53	CNS Cancer	NA	NA
TP53	Cancer of Unknown Primary	2	0.0045766590389016
TP53	Cervical Cancer	1	0.0384615384615385
TP53	Colorectal Cancer	19	0.00956696878147029
TP53	Endometrial Cancer	4	0.00749063670411985
TP53	Esophagogastric Cancer	8	0.0135593220338983
TP53	Gastrointestinal Neuroendocrine Tumor	NA	NA
TP53	Gastrointestinal Stromal Tumor	NA	NA
TP53	Germ Cell Tumor	NA	NA
TP53	Glioma	15	0.0301810865191147
TP53	Head and Neck Cancer	9	0.0434782608695652
TP53	Hepatobiliary Cancer	NA	NA
TP53	Melanoma	1	0.00719424460431655
TP53	Mesothelioma	1	0.0285714285714286
TP53	Non-Small Cell Lung Cancer	12	0.00603621730382294
TP53	Ovarian Cancer	1	0.00126262626262626
TP53	Pancreatic Cancer	1	0.00087719298245614
TP53	Peripheral Nervous System	NA	NA
TP53	Prostate Cancer	NA	NA
TP53	Renal Cell Carcinoma	1	0.0131578947368421
TP53	Salivary Gland Cancer	NA	NA
TP53	Skin Cancer, Non-Melanoma	6	0.0705882352941176
TP53	Small Cell Lung Cancer	NA	NA
TP53	Soft Tissue Sarcoma	4	0.0166666666666667
TP53	Thyroid Cancer	2	0.0238095238095238
TP53	Uterine Sarcoma	3	0.0375
PTEN	Appendiceal Cancer	NA	NA
PTEN	Bladder Cancer	NA	NA
PTEN	Bone Cancer	NA	NA
PTEN	Breast Cancer	1	0.00366300366300366
PTEN	CNS Cancer	NA	NA
PTEN	Cancer of Unknown Primary	NA	NA
PTEN	Cervical Cancer	2	0.125
PTEN	Colorectal Cancer	NA	NA
PTEN	Endometrial Cancer	14	0.0401146131805158
PTEN	Esophagogastric Cancer	NA	NA
PTEN	Gastrointestinal Neuroendocrine Tumor	NA	NA
PTEN	Gastrointestinal Stromal Tumor	1	0.0909090909090909
PTEN	Germ Cell Tumor	NA	NA
PTEN	Glioma	1	0.0029940119760479
PTEN	Head and Neck Cancer	NA	NA
PTEN	Hepatobiliary Cancer	1	0.0769230769230769
PTEN	Melanoma	NA	NA
