Hugo_Symbol	composites	samples	predicted_proportion	observed_proportion	p_enriched	p_twosided	logOR	Role	q_enriched	q_twosided
PIK3CA	115	3784	0.00512495349441172	0.0303911205073996	5.52602767299956e-50	5.52602767299956e-50	2.56803904909991	Oncogene	2.5751288956178e-47	2.5751288956178e-47
TP53	101	12423	0.00310611331624875	0.00813008130081301	4.31735564616155e-17	5.96056012952482e-17	1.38815931669098	TSG	1.00594386555564e-14	1.38881051017928e-14
FBXW7	24	787	0.00470584516857997	0.0304955527318933	1.60068693005653e-12	1.60068693005653e-12	2.69607310599364	TSG	2.48640036468781e-10	2.48640036468781e-10
FGFR3	7	359	0.00201040342345809	0.0194986072423398	1.0300790053865e-05	1.0300790053865e-05	3.2778141398395	Oncogene	0.00100923712869022	0.00100923712869022
EGFR	27	1408	0.00736001734032897	0.0191761363636364	1.0828724556762e-05	1.0828724556762e-05	1.38153100288734	Oncogene	0.00100923712869022	0.00100923712869022
PTEN	21	1742	0.00462818708063699	0.0120551090700344	9.96065433809448e-05	9.96065433809448e-05	1.38112561658063	TSG	0.00773610820258671	0.00663094988793147
NOTCH1	10	754	0.0038777411963014	0.013262599469496	0.000884831035058458	0.000884831035058458	1.7740751462997	Oncogene/TSG	0.0589044660481773	0.0515414077921552
ERBB3	8	512	0.00441144366573494	0.015625	0.00225583454223866	0.00225583454223866	1.82453342285633	Oncogene	0.131402362085402	0.116802099631468
ERBB4	8	597	0.00390896793432821	0.0134003350083752	0.00275896132820247	0.00275896132820247	1.77740941329948	Oncogene	0.14285288654915	0.128567597894235
CDKN2A	11	1226	0.00331475160185596	0.00897226753670473	0.00313745526329624	0.00313745526329624	1.43657187672099	TSG	0.146205415269605	0.132914013881459
TSC1	6	364	0.00420073719282683	0.0164835164835165	0.00477087656371544	0.00477087656371544	1.97230961464825	TSG	0.185558045073383	0.171284349298508
LATS1	6	289	0.00529927111067534	0.0207612456747405	0.0047783187572545	0.0047783187572545	1.97002716534439	TSG	0.185558045073383	0.171284349298508
SMAD3	4	228	0.00324702393586678	0.0175438596491228	0.00685719244142949	0.00685719244142949	2.43377625081667	TSG	0.245803975208165	0.228246548407582
MYCN	2	149	0.00123490320583213	0.0134228187919463	0.0149108442097529	0.0149108442097529	3.44221779926336	Oncogene	0.496318100124633	0.463230226782991
SMARCA4	8	809	0.00414279747622586	0.00988875154511743	0.0211814208839351	0.0211814208839351	1.25518309742458	TSG	0.658036142127583	0.580620125406691
SMAD2	4	216	0.0049740544787003	0.0185185185185185	0.0235543327183479	0.0235543327183479	1.89647447363291	TSG	0.686019940421882	0.609795502597228
CIC	4	472	0.00277927370555639	0.00847457627118644	0.0440457423745691	0.0440457423745691	1.60843331576556	TSG	1	1
PPP6C	2	82	0.00416852245522219	0.024390243902439	0.0463336920991381	0.0463336920991381	2.54869617317578	TSG	1	1
SPOP	4	376	0.00391149618543496	0.0106382978723404	0.0616564948832097	0.0616564948832097	1.44347487495989	TSG	1	1
SDHA	2	127	0.00332918697841387	0.015748031496063	0.0675021980418707	0.0675021980418707	2.2419296984976	TSG	1	1
SMARCB1	2	164	0.00295624086176972	0.0121951219512195	0.0854086908376683	0.0854086908376683	2.04446846119447	TSG	1	1
DUSP4	1	45	0.0020782024562399	0.0222222222222222	0.0893680056127233	0.0893680056127233	3.41859498145042	TSG	1	1
NSD1	7	452	0.00847010145783913	0.0154867256637168	0.0927001939086009	0.114091047907198	0.8705809935375	Oncogene/TSG	1	1
CD79A	1	49	0.00198854752735382	0.0204081632653061	0.0929301669020619	0.0929301669020619	3.35935939680543	Oncogene	1	1
EPHA3	6	545	0.00567699087112255	0.0110091743119266	0.0931044132082763	0.138028750585856	0.955507944028097	TSG	1	1
