Hugo_Symbol	Role	n.cis.other	n.trans.other	n.cis.AID	n.trans.AID	percent_trans_other	percent_cis_other	percent_trans_AID	percent_cis_AID	total_phaseable
ARID2	TSG	5	0	0	0	0	1	0	0	5
BRAF	Oncogene	5	0	0	0	0	1	0	0	5
BRCA2	TSG	3	0	0	0	0	1	0	0	3
FGFR2	Oncogene	3	0	0	0	0	1	0	0	3
NCOR1	TSG	4	0	0	0	0	1	0	0	4
NF2	TSG	3	0	0	0	0	1	0	0	3
PBRM1	TSG	3	0	0	0	0	1	0	0	3
RB1	TSG	8	0	0	0	0	1	0	0	8
SMARCA4	TSG	3	0	0	0	0	1	0	0	3
SPEN	TSG	3	0	0	0	0	1	0	0	3
ZFHX3	TSG	3	0	0	0	0	1	0	0	3
TERT	Oncogene	31	3	0	0	0.0882352941176471	0.911764705882353	0	0	34
KMT2C	TSG	11	1	1	0	0.0769230769230769	0.846153846153846	0	0.0769230769230769	13
KDM6A	TSG	5	1	0	0	0.166666666666667	0.833333333333333	0	0	6
KMT2A	TSG	5	1	0	0	0.166666666666667	0.833333333333333	0	0	6
KMT2D	TSG	12	0	2	1	0	0.8	0.0666666666666667	0.133333333333333	15
STK11	TSG	4	1	0	0	0.2	0.8	0	0	5
EGFR	Oncogene	23	1	5	0	0.0344827586206897	0.793103448275862	0	0.172413793103448	29
ARID1A	TSG	18	3	2	0	0.130434782608696	0.782608695652174	0	0.0869565217391304	23
BRCA1	TSG	3	0	1	0	0	0.75	0	0.25	4
CDH1	TSG	3	0	1	0	0	0.75	0	0.25	4
SMAD4	TSG	3	0	1	0	0	0.75	0	0.25	4
ATRX	TSG	4	0	2	0	0	0.666666666666667	0	0.333333333333333	6
CTNNB1	Oncogene	4	2	0	0	0.333333333333333	0.666666666666667	0	0	6
HLA-A	TSG	2	1	0	0	0.333333333333333	0.666666666666667	0	0	3
KEAP1	TSG	2	0	0	1	0	0.666666666666667	0.333333333333333	0	3
RUNX1	TSG	2	1	0	0	0.333333333333333	0.666666666666667	0	0	3
SF3B1	Oncogene	2	0	1	0	0	0.666666666666667	0	0.333333333333333	3
PIK3CA	Oncogene	21	4	9	0	0.117647058823529	0.617647058823529	0	0.264705882352941	34
ATM	TSG	3	2	0	0	0.4	0.6	0	0	5
EP300	TSG	3	0	2	0	0	0.6	0	0.4	5
CDKN1B	TSG	3	2	1	0	0.333333333333333	0.5	0	0.166666666666667	6
PDGFRA	Oncogene	2	1	1	0	0.25	0.5	0	0.25	4
SETD2	TSG	2	0	2	0	0	0.5	0	0.5	4
SOX17	TSG	2	2	0	0	0.5	0.5	0	0	4
CDKN2A	TSG	9	7	1	2	0.368421052631579	0.473684210526316	0.105263157894737	0.0526315789473684	19
TP53	TSG	67	87	3	6	0.533742331288344	0.411042944785276	0.0368098159509202	0.0184049079754601	163
FAT1	TSG	2	2	1	0	0.4	0.4	0	0.2	5
PIK3R1	TSG	6	8	1	0	0.533333333333333	0.4	0	0.0666666666666667	15
NF1	TSG	3	4	1	0	0.5	0.375	0	0.125	8
APC	TSG	14	19	5	0	0.5	0.368421052631579	0	0.131578947368421	38
DICER1	TSG	1	2	0	0	0.666666666666667	0.333333333333333	0	0	3
FGFR3	Oncogene	1	0	1	1	0	0.333333333333333	0.333333333333333	0.333333333333333	3
MET	Oncogene	1	2	0	0	0.666666666666667	0.333333333333333	0	0	3
PTEN	TSG	7	17	0	1	0.68	0.28	0.04	0	25
CDKN1A	TSG	2	9	0	0	0.818181818181818	0.181818181818182	0	0	11
FBXW7	TSG	1	5	0	1	0.714285714285714	0.142857142857143	0.142857142857143	0	7
CIC	TSG	0	2	1	0	0.666666666666667	0	0	0.333333333333333	3
MAP3K1	TSG	0	7	0	0	1	0	0	0	7
TBX3	TSG	0	3	2	0	0.6	0	0	0.4	5
