id	variable	type	.y.	group1	group2	p	p.adj	p.format	p.signif	method	FC	Log2FC	Group_AID
All TumorsCCR5	CCR5	All Tumors	value	Absence	Presence	0.0252943951938554	0.13	0.025	*	Wilcoxon	1.02738463674348	0.0389764052529155	1
All TumorsCTLA4_exp	CTLA4_exp	All Tumors	value	Absence	Presence	4.4733043006862e-19	7.2e-18	< 2e-16	****	Wilcoxon	1.07779699540409	0.108085470016531	1
All TumorsCXCL13	CXCL13	All Tumors	value	Absence	Presence	9.33180883091024e-22	1.6e-20	< 2e-16	****	Wilcoxon	2.12900562308371	1.09017976021025	1
All TumorsDOCK2	DOCK2	All Tumors	value	Absence	Presence	0.962458040441147	0.96	0.962	ns	Wilcoxon	0.949959119945298	-0.0740626643081706	-1
All TumorsLAG3_exp	LAG3_exp	All Tumors	value	Absence	Presence	2.17100678369073e-15	2.8e-14	2.2e-15	****	Wilcoxon	1.06801540360377	0.094932454649549	1
All TumorsLymphocytes.x	Lymphocytes.x	All Tumors	value	Absence	Presence	6.89680570233198e-07	5.5e-06	6.9e-07	****	Wilcoxon	1.08439362049675	0.116888530917571	1
All TumorsMacrophages	Macrophages	All Tumors	value	Absence	Presence	1.7758866489535e-06	1.1e-05	1.8e-06	****	Wilcoxon	0.918566021800619	-0.122544676325648	-1
All TumorsNK.Cells.Activated	NK.Cells.Activated	All Tumors	value	Absence	Presence	0.439653594225721	0.88	0.440	ns	Wilcoxon	0.975515837741666	-0.0357627993509805	-1
All TumorsPD1_exp	PD1_exp	All Tumors	value	Absence	Presence	6.74222171486808e-12	7.4e-11	6.7e-12	****	Wilcoxon	1.05704765563402	0.0800404202371934	1
All TumorsPDL1_exp	PDL1_exp	All Tumors	value	Absence	Presence	1.50648807840168e-12	1.8e-11	1.5e-12	****	Wilcoxon	1.06682856027514	0.093328353188356	1
All TumorsPDL2_exp	PDL2_exp	All Tumors	value	Absence	Presence	1.90237473505001e-07	1.7e-06	1.9e-07	****	Wilcoxon	1.04195575735059	0.0592940204129697	1
All TumorsPRKCQ	PRKCQ	All Tumors	value	Absence	Presence	0.26353860568724	0.79	0.264	ns	Wilcoxon	0.888728837818238	-0.170184792828359	-1
All TumorsSTK24	STK24	All Tumors	value	Absence	Presence	5.14322265667623e-18	7.2e-17	< 2e-16	****	Wilcoxon	1.28587507126572	0.362750484951691	1
All TumorsT.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Activated	All Tumors	value	Absence	Presence	3.93572624424294e-18	5.9e-17	< 2e-16	****	Wilcoxon	2.7609602121632	1.46517009758609	1
All TumorsT.Cells.CD8.x	T.Cells.CD8.x	All Tumors	value	Absence	Presence	7.41429996027649e-07	5.5e-06	7.4e-07	****	Wilcoxon	1.13995402399599	0.188975639573752	1
All TumorsT.Cells.Follicular.Helper	T.Cells.Follicular.Helper	All Tumors	value	Absence	Presence	3.53240969563382e-08	3.5e-07	3.5e-08	****	Wilcoxon	1.25181412800743	0.324020363780788	1
All TumorsTIM3_exp	TIM3_exp	All Tumors	value	Absence	Presence	0.0685734518101624	0.27	0.069	ns	Wilcoxon	0.981976770846709	-0.0262391976189139	-1
BLCACCR5	CCR5	BLCA	value	Absence	Presence	0.728539235490961	1	0.72854	ns	Wilcoxon	1.00234273318872	0.0033758966831081	1
BLCACTLA4_exp	CTLA4_exp	BLCA	value	Absence	Presence	0.880764404562832	1	0.88076	ns	Wilcoxon	1.00568258897077	0.00817503717611404	1
BLCACXCL13	CXCL13	BLCA	value	Absence	Presence	0.337638192149664	1	0.33764	ns	Wilcoxon	1.32890776286733	0.410240973183046	1
BLCADOCK2	DOCK2	BLCA	value	Absence	Presence	0.293717253270751	1	0.29372	ns	Wilcoxon	1.15697928944267	0.21036303965216	1
BLCALAG3_exp	LAG3_exp	BLCA	value	Absence	Presence	0.843781505622101	1	0.84378	ns	Wilcoxon	0.999949903843319	-7.22752871833677e-05	-1
BLCALymphocytes.x	Lymphocytes.x	BLCA	value	Absence	Presence	0.779347554271882	1	0.77935	ns	Wilcoxon	0.973829481964969	-0.0382589170973118	-1
BLCAMacrophages	Macrophages	BLCA	value	Absence	Presence	0.106659975313781	1	0.10666	ns	Wilcoxon	1.15493343761848	0.207809707065656	1
BLCANK.Cells.Activated	NK.Cells.Activated	BLCA	value	Absence	Presence	0.684685006440183	1	0.68469	ns	Wilcoxon	1.13948092947561	0.188376779643854	1
BLCAPD1_exp	PD1_exp	BLCA	value	Absence	Presence	0.946066593645458	1	0.94607	ns	Wilcoxon	0.998652923826919	-0.00194473025877658	-1
BLCAPDL1_exp	PDL1_exp	BLCA	value	Absence	Presence	0.519499147806976	1	0.51950	ns	Wilcoxon	0.973547736667591	-0.0386763735020275	-1
BLCAPDL2_exp	PDL2_exp	BLCA	value	Absence	Presence	0.825413062302686	1	0.82541	ns	Wilcoxon	0.990119150484388	-0.0143259459885704	-1
BLCAPRKCQ	PRKCQ	BLCA	value	Absence	Presence	0.554380325374684	1	0.55438	ns	Wilcoxon	1.34294139329156	0.425396346126083	1
