baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol
5588	9.74641061219021	22.0755456527443	1.92547280441096	11.464999974122	1.97759643132125e-30	1.25814684960658e-26	PRKCQ
8428	10.8654172477853	22.4043974151728	2.73682912137341	8.18626096901866	2.69467077847443e-16	8.57174774632715e-13	STK24
10563	16.1113115352793	23.0656899737534	2.97442748193453	7.75466543186716	8.85766868130407e-15	1.87841627168188e-11	CXCL13
2004	7.32443562999164	21.6479356226684	2.97642604873412	7.27313068365174	3.51250211935757e-13	4.46930769667058e-10	ELK3
5163	120.47592121077	6.20423327698077	0.870962649518991	7.12342059720609	1.05280914698806e-12	1.11632863218967e-09	PDK1
2359	453.616674941546	5.97468979929064	0.973504619916375	6.13729989263315	8.39358455983398e-10	7.62856928138054e-07	FPR3
2520	739.800262574898	4.99032256289999	0.818192329038262	6.09920477837507	1.06597437809687e-09	8.47716124181533e-07	GAST
8850	278.110145368499	4.86687088783724	0.824913294311287	5.89985750187303	3.63815649765496e-09	2.57177240423121e-06	KAT2B
9340	84.3481608662825	6.78570177269385	1.16237791425417	5.83777589842445	5.29022466959464e-09	3.09885693242216e-06	GLP2R
5129	255.585578011668	6.04607026827382	1.04076638575206	5.80924821462687	6.2753992893536e-09	3.32700752323897e-06	CDK18
1794	73.5020743460871	5.09527545500988	0.922959758282073	5.52058246233166	3.37877782209686e-08	1.34348653151126e-05	DOCK2
10479	135.684701272442	4.40340170322109	0.805754212657126	5.46494406613159	4.63052790332433e-08	1.63663436227497e-05	SLC9A6
11335	1085.13161488539	4.05802060743448	0.756347216674917	5.36528794972566	8.08201795578652e-08	2.44846658260542e-05	CBX3
9213	384.270124108398	4.02157510616367	0.749415766021261	5.36628035931869	8.03769727625964e-08	2.44846658260542e-05	XPR1
9950	1769.63132272395	4.58858862027955	0.858737644457497	5.34341151793615	9.12133637005151e-08	2.63772463573944e-05	GOLGA5
5326	359.772823284794	3.19247846120409	0.60491033646242	5.27760606617179	1.30882449954603e-07	3.62032237657038e-05	PLAGL2
9069	220.319207123408	2.63454233656001	0.503145532386319	5.23614375360723	1.63966263143913e-07	4.3464723588399e-05	CLDN12
2691	156.700017951622	4.39639872228529	0.864309275397453	5.08660365846891	3.64532519098133e-07	8.91983033270125e-05	GHRH
10206	439.312140950697	3.51155012104781	0.693736862541187	5.06178972266928	4.15338973842314e-07	9.78661685772149e-05	TRIM13
5470	146.209064924302	5.26495477693051	1.06030734034126	4.96549875363117	6.85247331483456e-07	0.000155697982960634	PPEF2
2669	83.4355163154695	6.42632896619313	1.30289394098973	4.93235002790128	8.12461553107217e-07	0.000172296013362271	GEM
7709	982.443780946051	3.97989089082131	0.813043151000302	4.89505493764356	9.82782697025143e-07	0.000201692371563676	ZBTB17
10263	2150.26358556165	1.82974332734697	0.374416908273217	4.88691425765362	1.02428674830726e-06	0.000203641009147836	CDK2AP2
10964	159.536560966592	4.64975356808459	0.95463212638654	4.87072814706621	1.11187732786989e-06	0.000214356471512371	IFI44L
9439	1679.4259988975	3.86675358154142	0.804653263958827	4.80549045748888	1.54372601389311e-06	0.000280605282868228	MED23
2527	108.478892118044	9.509368845047	1.98609469134202	4.78797354753588	1.6847384820211e-06	0.000297730728406062	FUT5
6434	195.878487630836	2.5786484803195	0.543705631313154	4.74272902800652	2.10858230548933e-06	0.000362562179122247	TRA2B
9475	600.292882860393	2.43933107166372	0.536045671663162	4.55060305607044	5.3492379219546e-06	0.000872611581012184	ROCK2
7484	208.584449059627	2.37374800425586	0.525017448869804	4.52127450119188	6.14684169328011e-06	0.000960055315443924	WNT9B
4602	128.244019090353	3.07036388707201	0.681507514639942	4.50525316466124	6.6293858862306e-06	0.000990832961482723	MYB
8460	154.029638139913	2.58622525666307	0.574321026517858	4.50310042162919	6.69692193394484e-06	0.000990832961482723	TPST1
11257	1123.14349096216	2.36824430006341	0.530213309592801	4.46658780007276	7.94770527308877e-06	0.00109920219450849	TP53TG1
10993	893.244456523079	2.48113607975727	0.561510519893395	4.41868138147852	9.93049193627195e-06	0.00128934264690943	SDS
6187	638.169765558681	5.07205895286897	1.15466368728114	4.39267209035734	1.11965938833804e-05	0.00134401377898238	RPS2
5887	148.84198675651	3.49553005540558	0.801650751307546	4.36041511806	1.29815932893098e-05	0.00152942400938127	RAD23B
2806	93.4603954691883	4.05506998550992	0.940310986230754	4.31247751530024	1.61435304170719e-05	0.00177531477147223	GOT2
6768	569.896097755102	0.774410119462371	0.180798132545835	4.28328605255947	1.84153169798427e-05	0.0019206269938649	ST14
