FC	padj	Gene	GSEA	Group	pval_mod	label
22.0755456527443	1.25814684960658e-26	PRKCQ	T cell activation	ON	25.9002686655269	PRKCQ
22.4043974151728	8.57174774632715e-13	STK24	response to oxidative stress	ON	12.066930618077	STK24
23.0656899737534	1.87841627168188e-11	CXCL13	T-cell reactivity to clonal neoepitopes	ON	10.7262081583631	CXCL13
-7.21865450537098	2.05048132614205e-10	IL12RB1	Other	ON	9.68814418150471	
21.6479356226684	4.46930769667058e-10	ELK3	Other	ON	9.34975974460883	
6.20423327698077	1.11632863218967e-09	PDK1	response to oxidative stress	ON	8.95220793610041	PDK1
5.97468979929064	7.62856928138054e-07	FPR3	Other	ON	6.11755690522527	
4.99032256289999	8.47716124181533e-07	GAST	Other	ON	6.07174955616501	
4.86687088783724	2.57177240423121e-06	KAT2B	Other	ON	5.58976746808066	
-3.33215966088093	3.09885693242216e-06	MBNL2	Other	ON	5.5087984737426	
6.78570177269385	3.09885693242216e-06	GLP2R	Other	ON	5.5087984737426	
6.04607026827382	3.32700752323897e-06	CDK18	Other	ON	5.47794621707603	
-2.27920120555684	3.8669817476058e-06	VCAM1	B cell differentiation	ON	5.41262787781905	VCAM1
-3.37067457113681	1.1653339095494e-05	NISCH	Other	ON	4.93354961601411	
-4.37217212438795	1.21401082444785e-05	CDK1	Other	ON	4.9157774409568	
5.09527545500988	1.34348653151126e-05	DOCK2	T cell activation	ON	4.87176668302289	DOCK2
4.40340170322109	1.63663436227497e-05	SLC9A6	Other	ON	4.78604833474996	
-2.77345372313494	1.63663436227497e-05	IL5RA	Other	ON	4.78604833474996	
-2.73718041198501	1.95334400769801e-05	TRAF2	Other	ON	4.70922126542256	
4.05802060743448	2.44846658260542e-05	CBX3	Other	ON	4.61110581898458	
4.02157510616367	2.44846658260542e-05	XPR1	Other	ON	4.61110581898458	
4.58858862027955	2.63772463573944e-05	GOLGA5	Other	ON	4.57877054443063	
