B	CD4Tconv	Endothelial	Fibroblasts	Mast	Microglia	Mono/Macro	Neutrophils	NK	Plasma	Tprolif	CD8	Malignant	Others
ALL_GSE132509	0.049402894577281	0.0973295020167137	0	0	0	0	0.0372235256900324	0	0	0	0.0306329581103525	0.109271610471094	0.563282629900087	0.11285687923444
AML_GSE116256	0.0110044852404297	0.164884739751747	0	0	0	0	0.075440700949202	0	0.0453217899238552	0.031996453530823	0.0104307916970898	0.0397413163659122	0.325675393762387	0.295504328778554
BCC_GSE123813_aPD1	0.114769288956127	0.28267776096823	0.00898260211800303	0.0201588502269289	0.00160741301059002	0	0.0491490166414523	0	0.0232034795763994	0.0481467473524962	0.0248676248108926	0.283509833585477	0.0671520423600605	0.0757753403933434
BRCA_GSE114727_non_malignant	0.0644472681067344	0.275120711562897	0.0683608640406607	0.105921219822109	0.0696823379923761	0	0.169047013977128	0.00401524777636595	0.0475222363405337	0	0	0.119034307496823	0	0.076848792884371
BRCA_GSE136206_mouse_aPD1aCTLA4	0.0659052884265658	0.0963119226012948	0.0174583545500837	0.0060376809485706	0	0	0.161016949152542	0.0149123445115298	0.0532116098057758	0.00352804248199607	0.0597948643340365	0.129300938386557	0.378191605441187	0.0143303993598603
BRCA_GSE138536_non_malignant	0	0	0	0.0125889436234264	0	0	0.237000547345375	0	0	0	0	0	0	0.750410509031199
CHOL_GSE125449_aPD1aPDL1aCTLA4	0.0443392919733614	0.143357868909919	0.0525762355415352	0.0690501226778829	0	0	0.0701016473887136	0	0	0.0431125131440589	0.0345250613389415	0.219242902208202	0.134244654749387	0.189449702067999
CLL_GSE111014_non_malignant	0.629044044376536	0.0515511858101375	0	0	0	0	0.0737394539294493	0	0	0	0.00352089284528001	0.238822826014748	0	0.00332159702384907
CRC_GSE108989_non_malignant	0	0.471191011235955	0	0	0	0	0	0	0	0	0.0183370786516854	0.355595505617978	0	0.154876404494382
CRC_GSE136394_non_malignant	0	0.0264102067856664	0	0	0	0	0.00282860162867904	0	0	0	0.0797070164207768	0.891054175164878	0	0
CRC_GSE139555_non_malignant	0.31131329113924	0.210245253164557	0	0	0.0198773734177215	0	0.0666534810126582	0	0.0639833860759494	0.0559731012658228	0.0181962025316456	0.197092563291139	0	0.0566653481012658
CRC_GSE146771_10X_non	0.109751922769701	0.212314854964968	0	0	0.0101558755734076	0	0.279024123057261	0	0.0303991601433234	0.116005203459844	0	0.234817536572563	0	0.00753132345893147
CRC_GSE146771	0.0318991828295757	0.16815988973122	0.00758097863542385	0.0136851432509599	0.0255981096780545	0	0.147484493452791	0	0.208329231072167	0.0601555577434282	0.0232352072462341	0.135669981293689	0.0736437924584031	0.104558432608054
DLBCL_res	0.175761323233885	0.18122326995414	0	0.0988045550574535	0.0282372339877364	0	0	0.281187200494667	0.00427680733755861	0.0589735662389859	0	0.0616014840006183	0.0711598907610656	0.0387746689338898
Glioma_GSE135437	0	0	0	0	0	0.958218623481781	0.0102024291497976	0	0	0	0	0.019919028340081	0	0.0116599190283401
Glioma_GSE148842	0	0	0	0	0	0	0.134375252475381	0	0	0	0	0.0023070639245222	0.708708493047389	0.154609190552708
Glioma_GSE70630	0	0	0	0	0	0	0.0450885668276973	0	0	0	0	0	0.939958592132505	0.0149528410397976
Glioma_GSE84465	0	0	0	0	0	0	0.521652986130767	0	0	0	0	0	0.306538352674781	0.171808661194452
Glioma_GSE89567	0	0	0	0	0	0	0.166219839142091	0	0	0	0	0	0.817221258476581	0.0165589023813279
HNSC_GSE103322	0	0.0706540155879363	0.0455777702473738	0.126058963063368	0.0206709589969502	0	0.0149101999322264	0	0	0.0250762453405625	0	0.152151812944764	0.421552016265673	0.123348017621145
HNSC_GSE139324	0.125766965037105	0.27811185066177	0	0	0.00380231045826639	0	0.211139163032668	0	0.0553515415805983	0.0120878280162191	0.030127763751817	0.239262489480529	0	0.0443500879810267
KIRC_GSE111360	0.0202702702702703	0.132882882882883	0	0.0357761607761608	0.0025987525987526	0	0.421171171171171	0	0.145486832986833	0.00952875952875953	0.0693433818433818	0.120278932778933	0	0.0426628551628552
KIRC_GSE139555	0.155208688159978	0.17600737371511	0.00120223615925622	0	0.0117819143607109	0	0.417376319955117	0	0.0755405053399323	0.00226421143326587	0.00603121806560202	0.132526499288677	0	0.0220610335223516
LIHC_GSE125449_aPDL1aCTLA4	0.00922266139657444	0	0.164953886693017	0.171014492753623	0	0	0.0737812911725955	0	0	0.161528326745718	0	0.161791831357049	0.216337285902503	0.0413702239789196
LIHC_GSE140228_immune10X	0.0548080663986513	0.201724808714823	0	0	0.00674361302036052	0	0.126053689534431	0	0.109924134353521	0.01741019323045	0.0165348203864609	0.384612890675658	0	0.0821877836856439
LIHC_GSE140228_immune_Smart	0.113719943422914	0.156294200848656	0	0	0.0175388967468175	0	0.24031117397454	0	0.233097595473833	0.0425742574257426	0.017963224893918	0.115700141442716	0	0.0628005657708628
LIHC_GSE98638_immune	0	0.487448112275153	0	0	0	0	0	0	0	0	0.0264874481122752	0.324570073136984	0	0.161494366475588
MB_GSE119926	0	0	0	0.118915429309232	0	0	0	0	0	0	0	0	0.881084570690768	0
NHL_GSE128531.res	0.0409412539081784	0.0645713345400691	0.0634523613625144	0.103307553068948	0	0	0.0616093467171302	0	0.0753332236300806	0	0.109593549448741	0.07908507487247	0	0.402106302451868
NSCLC_EMTAB6149.res	0.0434879904520364	0.12976776567706	0.0304838629469392	0.0304341339698642	0.0121338704062857	0	0.213362176140037	0	0	0.0201651002038888	0	0.253195086777065	0.142423790342633	0.124546223084191
NSCLC_GSE127465.res	0.107032057911065	0.217425025853154	0.0134113236814891	0.0227830920372285	0.0198099793174767	0	0.226861427094105	0.107904601861427	0.0478606514994829	0.0357419855222337	0	0.0399108066184074	0.125387797311272	0.0358712512926577
NSCLC_GSE131907.res	0.0997933985931428	0.210349746667323	0.0111515568891731	0.0202912096020463	0.0168281764966304	0	0.131300113138866	0	0	0.024413399576959	0	0.230340892321314	0	0.255531506714546
NSCLC_GSE139555.res	0.0380951172791739	0.400829643912773	0	0	0	0	0.0804779966763501	0	0.153382638369128	0.00709129888746527	0.0162630504002334	0.269887985386089	0	0.0339722690887871
NSCLC_GSE99254.res	0	0.600939727802981	0	0	0	0	0.00202527543745949	0	0	0	0.0146629941672067	0.310029163966299	0	0.0723428386260531
OSCC_GSE117872	0	0	0	0	0.0576036866359447	0	0	0.0806451612903226	0.0814132104454685	0	0	0	0	0.780337941628264
PAAD_CRA001160.res	0.0197935344602475	0	0.158522361297286	0.124889020420243	0	0	0.0579182842121755	0	0	0.00833870097313859	0	0.0795919433177237	0.198475010009923	0.352471145309263
SKCM_GSE115978_aPD1.res	0.124130253270248	0.157250208739215	0.0139159476760367	0.0122460339549123	0	0	0.0715279710548288	0	0.0229613136654606	0	0.0297801280267186	0.270108544391873	0.298079599220707	0
SKCM_GSE120575_aPD1aCTLA4.res	0.0903707359200543	0.204984269940164	0	0	0	0	0.0855591882055395	0	0.0639072234902227	0.0181358336931713	0.0524335327863796	0.415458639195608	0	0.0691505767688606
SKCM_GSE123139.res	0.111004676846791	0.110638417760748	0	0.0342593114329182	0	0	0.192342367724122	0	0	0.0468529892376176	0.0795627429988167	0.377021468417197	0	0.0483180255817885
SKCM_GSE148190.res	0.0266939714018826	0.226916720557591	0	0	0	0	0.00348494646834806	0	0.0365021197097075	0	0	0.638391894804915	0	0.0680103470575555
SKCM_GSE72056.res	0.138213132400431	0.246501614639397	0.0195909580193757	0.018729817007535	0	0	0.0475780409041981	0	0	0	0.0198062432723358	0.215715823466093	0.293864370290635	0
