ALL_GSE132509	AML_GSE116256	BCC_GSE123813_aPD1	BRCA_GSE114727_non_malignant	BRCA_GSE136206_mouse_aPD1aCTLA4	BRCA_GSE138536_non_malignant	CHOL_GSE125449_aPD1aPDL1aCTLA4	CLL_GSE111014_non_malignant	CRC_GSE108989_non_malignant	CRC_GSE136394_non_malignant	CRC_GSE139555_non_malignant	CRC_GSE146771_10X_non	CRC_GSE146771	DLBCL_res	Glioma_GSE135437	Glioma_GSE148842	Glioma_GSE70630	Glioma_GSE84465	Glioma_GSE89567	HNSC_GSE103322	HNSC_GSE139324	KIRC_GSE111360	KIRC_GSE139555	LIHC_GSE125449_aPDL1aCTLA4	LIHC_GSE140228_immune10X	LIHC_GSE140228_immune_Smart	LIHC_GSE98638_immune	MB_GSE119926	NHL_GSE128531.res	NSCLC_EMTAB6149.res	NSCLC_GSE127465.res	NSCLC_GSE131907.res	NSCLC_GSE139555.res	NSCLC_GSE99254.res	OSCC_GSE117872	PAAD_CRA001160.res	SKCM_GSE115978_aPD1.res	SKCM_GSE120575_aPD1aCTLA4.res	SKCM_GSE123139.res	SKCM_GSE148190.res	SKCM_GSE72056.res
B	0.0108085876858889	0	0.0813392087242518	0.0280079212421509	0.22522939918269	0	0.0475194260531889	0.0857025842743545	0	0	0.0184121380699232	0.298652379210473	0.267118310540644	0.166863618969063	0	0	0	0	0	0	0.442148716347263	0.0162256231310301	0.0198828391913442	0	0.0309554258964872	0.126920256399334	0	0	0.0134202136634439	0.127381153204113	0.0967921711199886	0.021887671133716	0.054197917483204	0	0	1.09745415108994	0.637075737165941	0.145386129229235	0.191298102741593	0.147418748787405	0.617514717746918
CD4Tconv	0.00335261752272046	0.0182445477770679	0	0	0.0199265277127024	0	0.0181774982646299	0	0.00331003748767617	0	0	0.00321029931886211	0.0431717470691733	0.0779449317253769	0	0	0	0	0	0.409795254290192	0.0173468463325853	0	0.00171903793217311	0	0.00073686689849702	0.000322334536596304	0.000733470056957771	0	0.0153106970500183	0	0.113115444289775	0.0107708146149062	0.000878435954362316	0.00355970040206415	0	0	0.537458833135384	0.00258308059920397	0.0229591882608742	0	0.600538963392109
CD8T	0.00632312096714079	0	0	0	0.00730342222010471	0	0.149499783196509	0.0027419285081539	0.00218663703059433	0.00106828631740569	0	0.000306132830868571	0.0489708697084191	0	0.163385375144331	0	0	0	0	0.189649388756301	0.0110796752807995	0	0	0	0.000517818677987422	0	0.000151070081036668	0	0	0	0	0.00234079116014976	0.00227985070598902	0.000601710293179489	0	0	0	0.00262470011876873	0	0	0
Erythrocytes	0.027203089242877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malignant	0.0337178348081505	0.0193592707234883	0	0	0.0526908116710049	0	0.011335194104522	0	0	0	0	0	0.0339650510399841	0.0270583906761066	0	0.00123690329660357	0	0	0	0.0551528557249122	0	0	0	0.00584483746993549	0	0	0	0.142030330959061	0	0.00697019727581229	0.150414408268767	0	0	0	0	0.00426417248590432	0.153793920415235	0	0	0	0.15834812859579
Mono/Macro	0.00311799227651555	0.0178861152660098	0	0.0248161655587333	0.00593620776768095	0.00430673172980368	0.0522249872907933	0.00276775300764483	0	0.0707559282879807	0	3.04729066545243e-05	0.0815212526734354	0	0.181918789673002	0.00102435260760329	0.131716041630854	0.00138021615155376	0.0996189757006612	0.0290321832167451	0.0129100389888138	0.00541406327069575	0.00230622161529698	0	0.00814362150647963	0.00654790096033637	0	0	0.0050310080756563	0.0172936046722729	0.12484578728534	0.0151256386272584	0.00516078314966838	0.0164813130212962	0	0.0200368191907943	0.292502888375683	0.0134356816834068	0.0186977753135278	0	0.370132001081888
Tprolif	0.00200611890233387	0.0199992039640823	0.00256000167235356	0	0.0276794380248631	0	0.21399832805115	0	0.00014460505312274	0.000568440392250072	0.682938651023568	0	0.303245658647032	0	0	0	0	0	0	0	0.00958911433015964	0.0158630802828708	0	0	0.0355560338209901	0.00255833185494387	0	0	0.00891176099555467	0	0	0	0.0193054330713044	0.000637523198840537	0	0	0.291893596399076	4.18831603430691e-05	0.0409877841248764	0	0.698996858845398
EryPro	0	0.0304094778054543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSC	0	0.00547249863952558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NK	0	0	0	0	0	0	0	0	0	0	0.0079119265920521	0	0.03424463808183	0.0532245859218797	0	0	0	0	0	0	0.0185011723445951	0	0	0	0	0.00479066716335872	0	0	0.00752629005637382	0	0.213101863808108	0	0	0	0.000396716779760248	0	0.612352704069297	5.25146630084959e-05	0	0	0
Plasma	0	0	0	0	1.69011499193947	0	0	0	0	0	0	0.00774932188177709	0.0654491528648798	1.54199942795744	0	0	0	0	0	0.146987539143679	0.0444658984845263	0	0	0.0324915895723895	0	0.000803002858303135	0	0	0	0	0.0646866665435189	0.256643358093402	0	0	0	0.010211024050935	0	0	0	0	0
Progenitor	0	0.0261322049540694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Promonocyte	0	0.0058082713185512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
