Hugo_Symbol	reptime	percentage_gene_gc_content	hic	cds_length
A1BG	406	0.47655	-25	1509.8
A1CF	613	0.380165	19	2450.4
A2M	364	0.39321	17	909.692307692308
A2ML1	407	0.429065	12	1765.33333333333
A4GALT	168	0.52356	72	1477.2
A4GNT	464	0.43737	9	1771
AAAS	166	0.50911	58	961.35
AACS	306	0.497515	13	2104.14285714286
AADAC	526	0.3627	2	1180.5
AADACL2	611	0.37591	-5	3167.5
AADACL3	454	0.48353	23	2545
AADACL4	454	0.48353	23	1575
AADAT	831	0.41902	-13	1458.5
AAGAB	320	0.456425	45	1398
AAK1	309	0.41643	35	2362.4
AAMP	197	0.47081	33	1368
AANAT	197	0.51119	29	1048
AARS	139	0.47423	42	1064
AARS2	312	0.5166	54	2294.5
AARSD1	201	0.46506	26	675.789473684211
AASDH	594	0.41801	5	2452.18181818182
AASDHPPT	753	0.37137	-16	2109.8
AASS	988	0.35626	-13	2473.28571428571
AATF	384	0.444975	16	875.444444444444
ABAT	358	0.4705426	-10	1659.125
ABCA1	637	0.409375	-18	3441
ABCA10	415	0.361395	-43	2606.4
ABCA12	857	0.38078	9	5530
ABCA13	878	0.391038	-11	5392.85714285714
ABCA2	202	0.62853	40	2849
ABCA3	233	0.56979	46	3340.16666666667
ABCA4	370	0.427015	-2	1852.88888888889
ABCA5	314	0.35869	-50	2907.93333333333
ABCA6	493	0.37149	-39	2818.71428571429
ABCA7	206	0.60256	26	1771.17647058824
ABCA8	637	0.38745	-41	2250.57142857143
ABCA9	602	0.37328	-42	2711.22222222222
ABCB1	822	0.3726133	0	1463.9
ABCB10	277	0.42667	20	1782
ABCB11	560	0.387425	1	2724.33333333333
ABCB4	837	0.3838	8	2264.27272727273
ABCB5	648	0.371865	4	2554
ABCB6	177	0.45116	36	1311.35714285714
ABCB7	NaN	0.37127	-5	1352.77777777778
ABCB8	373	0.57286	41	1480.60869565217
ABCB9	196	0.48981	47	2273.3
ABCC1	264	0.47555	33	4008.75
ABCC10	230	0.46952	49	1899.2
ABCC11	578	0.46818	-22	2867.8
ABCC12	628	0.45672	-27	2901.21428571429
ABCC2	171	0.427145	30	2517
ABCC3	196	0.5458	18	1657
ABCC4	596	0.4145275	30	2471.66666666667
ABCC5	375	0.4464	43	2388.84615384615
ABCC6	188	0.485425	23	2375.57142857143
ABCC8	598	0.47202	14	1381.05263157895
ABCC9	984	0.367755	-17	4233.5
ABCD1	NaN	0.55204	37	1782.66666666667
ABCD2	596	0.36398	-16	6238
ABCD3	348	0.399155	-8	2364.66666666667
ABCD4	358	0.48773	47	1112.27586206897
ABCE1	1139	0.36517	32	1330.1
ABCF1	271	0.46069	32	1927.96153846154
ABCF2	290	0.52226	32	1433.33333333333
ABCF3	257	0.49677	49	1153.33333333333
ABCG1	464	0.49939	75	2597.66666666667
